filename	text
030_1_1.ogg	dijo que estaba cansado, dijo que vendría
031_1_1.ogg	aprender a, empezar a, ir a, ayudar a
031_1_2.ogg	dejar de, tratar de, acordarse de, disfrutar de
031_1_3.ogg	pensar en, insistir en, confiar en
031_1_4.ogg	soñar con, contar con, casarse con
032_1_1.ogg	hablara, hablaras, hablara, habláramos, hablaran
032_1_2.ogg	comiera, comieras, comiera, comiéramos, comieran
032_2_1.ogg	quería que vinieras
032_2_2.ogg	me sorprendió que dijera eso
032_2_3.ogg	si pudiera, lo haría
032_2_4.ogg	habla como si fuera experto, ojalá pudiera volar
033_1_1.ogg	aunque llueva, voy a salir
033_1_2.ogg	te lo explico para que entiendas
033_2_1.ogg	te ayudo con tal de que me escuches
033_2_2.ogg	en cuanto llegues, llámame
034_1_1.ogg	lo importante es estudiar, lo bueno y lo malo
034_1_2.ogg	el saber no ocupa lugar, el comer bien es fundamental
034_1_3.ogg	conocimiento, educación, posibilidad, belleza
035_1_1.ogg	creo que es verdad
035_1_2.ogg	no creo que sea verdad
035_1_3.ogg	busco a alguien que habla inglés
035_1_4.ogg	busco a alguien que hable inglés
036_1_1.ogg	además, también, incluso, es más
036_1_2.ogg	sin embargo, no obstante, en cambio, por otro lado
036_1_3.ogg	en resumen, en fin, por lo tanto, en conclusión
037_1_1.ogg	qué tal, cómo se encuentra, oye, disculpe, vale, de acuerdo
037_1_2.ogg	tú eres, usted es
037_1_3.ogg	o sea, bueno, pues, es que, es decir, por consiguiente
038_1_1.ogg	actualmente, realizar, embarazada, sensible
038_1_2.ogg	pensar en, soñar con, depender de
038_1_3.ogg	es aburrido, está aburrido, es listo, está listo
039_1_1.ogg	hubiera hablado, hubiera comido, hubiera vivido
039_1_2.ogg	si hubiera sabido, no habría ido
039_1_3.ogg	ojalá hubiera estudiado más
039_1_4.ogg	Me habría gustado que hubieras venido.
039_2_1.ogg	si llueve, me quedo
039_2_2.ogg	si lloviera, me quedaría
039_2_3.ogg	si hubiera llovido, me habría quedado
040_1_1.ogg	deshacer, desconocido, desaparecer
040_1_2.ogg	imposible, incapaz, impaciente
040_1_3.ogg	rehacer, reconstruir, renacer
040_2_1.ogg	rápidamente, fácilmente, lentamente
040_2_2.ogg	realizar, actualizar, hospitalizar
040_2_3.ogg	pianista, periodista, artista
041_1_1.ogg	tener ganas de, tener que ver con, no tener remedio, tener en cuenta
041_1_2.ogg	dar igual, darse cuenta de, dar a entender
041_1_3.ogg	quedar en, quedarse con, no quedar más remedio
042_1_1.ogg	me gusta bailar, estudiar es importante, antes de salir
042_1_2.ogg	estoy estudiando, salió corriendo, sigue lloviendo
042_1_3.ogg	sin hablar
043_1_1.ogg	ante esta situación, ante todo
043_1_2.ogg	mediante un acuerdo
043_1_3.ogg	según el informe
043_1_4.ogg	hacia el futuro
043_1_5.ogg	tras la reunión
044_1_1.ogg	sé nadar, conozco Madrid
044_1_2.ogg	pedí la cuenta, pregunté la hora
044_2_1.ogg	lleva esto a tu madre, trae el libro cuando vengas
044_2_2.ogg	no es caro sino barato, quiero ir pero no puedo
044_3_1.ogg	por qué, porque sí, el porqué no importa
044_3_2.ogg	todavía no ha llegado, ya lo sé
045_1_1.ogg	busco un hotel que tenga piscina
045_1_2.ogg	conozco un hotel que tiene piscina
045_1_3.ogg	no hay nadie que sepa la respuesta
045_1_4.ogg	es el mejor libro que haya leído
046_1_1.ogg	o sea, bueno, pues, es que
046_1_2.ogg	de verdad, la verdad es que, en serio
046_1_3.ogg	no me digas, qué va, venga
047_1_1.ogg	el hombre que conocí ayer, cuya hija trabaja en el hospital, me dijo que vendría hoy
047_1_2.ogg	la mujer cuyo hijo ganó el premio
047_1_3.ogg	a pesar de que llovía, aunque no tenía paraguas, salí de todas formas
048_1_1.ogg	si así lo hiciere
048_1_2.ogg	terminada la reunión todos salieron, dicho esto continuemos
048_1_3.ogg	dado que, no obstante, a fin de, cabe destacar, en lo que respecta a
049_1_1.ogg	comprender, aprender, sorprender, emprender, conducir, producir, reducir, traducir
049_1_2.ogg	almohada, alfombra, algodón, alcalde, aldea, álgebra
049_1_3.ogg	teléfono, televisión, biología, biografía, automóvil, autonomía
050_1_1.ogg	que yo sepa, por lo visto, que digamos, por así decirlo
050_1_2.ogg	ni siquiera, no solo sino también, de hecho
050_1_3.ogg	a raíz de, en torno a, a la hora de, en la medida en que
051_1_1.ogg	carro, coche, computadora, ordenador, departamento, piso
051_1_2.ogg	vos hablás, vos comés, vos vivís
052_1_1.ogg	presente, pretérito, imperfecto, futuro, condicional, pretérito perfecto, pluscuamperfecto
052_1_2.ogg	subjuntivo presente, subjuntivo imperfecto, subjuntivo pluscuamperfecto
