# norman-roots.html — en<TAB>ru. Drafted by deepseek-v4-flash, checked by qwen3-max, cross-refuted, Claude-adjudicated.
<span class="brand"><a class="logo" href="index.html">FLASHBOSS</a><span class="pipe">|</span><a href="home.html">home</a><span class="sep"> · </span><a href="packs.html">packs</a><span class="sep"> · </span><span class="here">Norman Roots</span></span>	<span class="brand"><a class="logo" href="index.html">FLASHBOSS</a><span class="pipe">|</span><a href="home.html">главная</a><span class="sep"> · </span><a href="packs.html">наборы</a><span class="sep"> · </span><span class="here">Norman Roots</span></span>
<div class="stem">\n          <span class="glyph">w · gu</span>\n          <span class="mean">Normandy kept the Germanic <span class="sax">w-</span>; Paris turned it to <span class="nor">gu-</span></span>\n        </div>	<div class="stem">\n          <span class="glyph">w · gu</span>\n          <span class="mean">Нормандия сохранила германское <span class="sax">w-</span>; Париж превратил его в <span class="nor">gu-</span></span>\n        </div>
<p class="note">Each pair was a single word once. A <b>ward</b> and a <b>guard</b> both keep watch; a <b>warranty</b> and a <b>guarantee</b> are the same promise — one came early through Normandy, the other later through Paris.</p>	<p class="note">Каждая пара когда-то была одним словом. <b>ward</b> и <b>guard</b> оба несут стражу; <b>warranty</b> и <b>guarantee</b> — одно и то же обещание — одно пришло рано через Нормандию, другое позже через Париж.</p>
<div class="stem">\n          <span class="glyph">ca · ch</span>\n          <span class="mean">Normandy kept the hard <span class="sax">c-</span>; Paris softened it to <span class="nor">ch-</span></span>\n        </div>	<div class="stem">\n          <span class="glyph">ca · ch</span>\n          <span class="mean">Нормандия сохранила твёрдое <span class="sax">c-</span>; Париж смягчил его до <span class="nor">ch-</span></span>\n        </div>
<p class="note"><b>Cattle</b> and <b>chattel</b> were once the very same word — property you could drive on the hoof. So were <b>catch</b> and <b>chase</b>. The hard Norman <i>c</i> and the soft Parisian <i>ch</i> are the fingerprints of two different Frances.</p>	<p class="note"><b>Cattle</b> и <b>chattel</b> когда-то были одним и тем же словом — имущество, которое можно было гнать на копытах. <b>Catch</b> и <b>chase</b> тоже. Твёрдое нормандское <i>c</i> и мягкое парижское <i>ch</i> — это отпечатки пальцев двух разных Франций.</p>
<span class="tag">Watch the register climb</span>	<span class="tag">Следите за повышением регистра</span>
<h2>From plain to courtly</h2>	<h2>От простого к придворному</h2>
<p class="sub">The pack runs five tiers, T1 to T5 — the words grow more formal, and more French, as you climb.</p>	<p class="sub">Набор включает пять уровней, от T1 до T5 — слова становятся более формальными и более французскими по мере продвижения.</p>
<li class="reveal"><span class="wd">change</span><span class="df">to make or become different — so naturalised no one hears the French in it</span></li>	<li class="reveal"><span class="wd">change</span><span class="df">делать(ся) иным — настолько естественно, что никто не слышит в нём французского</span></li>
<li class="reveal"><span class="wd">counsel</span><span class="df">advice formally given; in law, the advocate who gives it</span></li>	<li class="reveal"><span class="wd">counsel</span><span class="df">совет, данный официально; в юриспруденции — адвокат, который его даёт</span></li>
<li class="reveal"><span class="wd">profound</span><span class="df">deep, intense, and far-reaching; showing great insight</span></li>	<li class="reveal"><span class="wd">profound</span><span class="df">глубокий, интенсивный и далеко идущий; проявляющий большую проницательность</span></li>
<li class="reveal"><span class="wd">perseverance</span><span class="df">steady persistence in a course of action despite difficulty</span></li>	<li class="reveal"><span class="wd">perseverance</span><span class="df">устойчивое упорство в действиях, несмотря на трудности</span></li>
<li class="reveal"><span class="wd">sang-froid</span><span class="df">composure under strain — and still, unmistakably, French for "cold blood"</span></li>	<li class="reveal"><span class="wd">sang-froid</span><span class="df">самообладание под давлением — и всё ещё, безошибочно, французское «хладнокровие»</span></li>
<span class="tag">How it sticks</span>	<span class="tag">Как это запоминается</span>
<h2>Flashcards as an integrated system</h2>	<h2>Карточки как интегрированная система</h2>
<dt>Cards</dt>	<dt>Карточки</dt>
<dd>1,000 words across 49 clusters — each card carries a definition, an example sentence, and a usage or register note that places the word precisely.</dd>	<dd>1000 слов в 49 блоках — каждая карточка содержит определение, пример предложения и примечание об употреблении или стиле, которое точно определяет место слова.</dd>
<dt>Fibonacci SRS</dt>	<dt>Интервальное повторение по Фибоначчи</dt>
<dd>Rate each card 0–5. The better you know a word, the longer before it returns — spaced repetition on Fibonacci intervals.</dd>	<dd>Оценивайте каждую карточку от 0 до 5. Чем лучше вы знаете слово, тем дольше оно не будет появляться — интервальное повторение на интервалах Фибоначчи.</dd>
<dt>Boss fights</dt>	<dt>Босс-файты</dt>
<dd>Each cluster — a domain of the conquest, from the law court to the kitchen — is gated by a duel you can't win without confronting its hardest words.</dd>	<dd>Каждый блок — область завоевания, от суда до кухни — запирается дуэлью, которую невозможно выиграть, не столкнувшись с самыми сложными словами.</dd>
<dt>Graduation</dt>	<dt>Освоение</dt>
<dd>Beat a cluster and its cards leave your daily deck for good. The deck gets smaller as you learn.</dd>	<dd>Победите блок, и его карточки навсегда покинут вашу ежедневную колоду. Колода становится меньше по мере обучения.</dd>
<dt>Register notes</dt>	<dt>Примечания к регистру</dt>
<dd>Where a Norman word shadows a plainer Anglo-Saxon twin, the note tells you which to reach for, and when — the difference between begin and commence.</dd>	<dd>Когда нормандское слово дублирует более простое англосаксонское, примечание сообщает, какое и когда использовать — разница между begin и commence.</dd>
<dt>Audio</dt>	<dt>Аудио</dt>
<dd>Clean Piper text-to-speech on every word and example sentence.</dd>	<dd>Чистое озвучивание Piper для каждого слова и примера.</dd>
<dt>Lessons</dt>	<dt>Уроки</dt>
<dd>Reference lessons fire at the point in the sequence where they unlock what you're about to read.</dd>	<dd>Справочные уроки появляются в тот момент последовательности, когда они открывают то, что вы собираетесь прочитать.</dd>
<h2>Part of the Roots Series</h2>	<h2>Часть серии Roots</h2>
<p class="sub">The shape of English and its neighbours, made visible.</p>	<p class="sub">Форма английского языка и его соседей, ставшая видимой.</p>
<div class="lvl">1,000 words</div>	<div class="lvl">1000 слов</div>
<p>The Germanic backbone of everyday English — the words you already half-know.</p>	<p>Германская основа повседневного английского — слова, которые вы уже наполовину знаете.</p>
<p>The second English — 1066 and the French that came with it.</p>	<p>Второй английский — 1066 год и французский, который пришёл с ним.</p>
<span class="here">You are here</span>	<span class="here">Вы здесь</span>
<p>English built from its parts — the classical and scientific layer, assembled.</p>	<p>Английский, собранный из своих частей — классический и научный слой.</p>
<p>The vocabulary of science, medicine, and abstraction — the layer above Latin.</p>	<p>Лексика науки, медицины и абстракции — слой над латынью.</p>
<h2>Learn the second English.</h2>	<h2>Выучите второй английский.</h2>
<p>1,000 words · 49 clusters · every doublet, suffix, and sound-seam · a register note on every card. The complete word list, every reference lesson, and a playable boss-fight demo are on the website.</p>	<p>1000 слов · 49 блоков · каждый дублет, суффикс и звуковой стык · примечание о регистре на каждой карточке. Полный список слов, все справочные уроки и играбельная демо-версия босс-файта — на сайте.</p>
<a class="btn warm" href="https://store.steampowered.com/app/4587720/FlashBoss__Norman_Roots/?utm_source=website">Get Norman Roots on Steam &rarr;</a>	<a class="btn warm" href="https://store.steampowered.com/app/4587720/FlashBoss__Norman_Roots/?utm_source=website">Купить Norman Roots в Steam &rarr;</a>
<p class="epi">“Dieu et mon droit.”<br>God and my right.<br><span class="epi-cite">— Motto of the English Crown, in the French of the conquerors, since the 12th century</span></p>	<p class="epi">“Dieu et mon droit.”<br>Бог и моё право.<br><span class="epi-cite">— Девиз английской короны, на французском языке завоевателей, с XII века</span></p>
<span class="footer-links">\n    <a href="home.html">home</a>\n    <span class="div">·</span>\n    <a href="packs.html">packs</a>\n    <span class="div">·</span>\n    <a href="manual/">walkthrough (beta)</a>\n    <span class="div">·</span>\n    <a href="https://store.steampowered.com/app/4587720/FlashBoss__Norman_Roots/?utm_source=website">steam</a>\n  </span>	<span class="footer-links">\n    <a href="home.html">главная</a>\n    <span class="div">·</span>\n    <a href="packs.html">наборы</a>\n    <span class="div">·</span>\n    <a href="manual/">руководство (бета)</a>\n    <span class="div">·</span>\n    <a href="https://store.steampowered.com/app/4587720/FlashBoss__Norman_Roots/?utm_source=website">steam</a>\n  </span>
content="FlashBoss Norman Roots: the second English. In 1066 the Normans brought a whole new vocabulary — law, government, cuisine, and the formal register — and English kept both layers. 1,000 words, 49 clusters, spaced repetition, boss fights, and text-to-speech."	FlashBoss Norman Roots: второй английский. В 1066 году норманны принесли целый новый словарь — право, правительство, кухню и формальный регистр — и английский сохранил оба слоя. 1000 слов, 49 блоков, интервальное повторение, босс-файты и синтез речи.
