# lessons.html — en<TAB>ru. Multi-line values use \n.
  stage.innerHTML=`<div class="state"><span class="ic">◴</span>Loading ${esc(lang)} lessons…</div>`; lessonSel.innerHTML=''; setSel.innerHTML='';	  stage.innerHTML=`<div class="state"><span class="ic">◴</span>Загружаем уроки: ${esc(ruName(lang))}…</div>`; lessonSel.innerHTML=''; setSel.innerHTML='';
  if(!LESSONS.length){ stage.innerHTML=notPublished(lang+(isEng(lang)?' '+curSet:'')); lessonSel.innerHTML=''; updateToggle(); return; }	  if(!LESSONS.length){ stage.innerHTML=notPublished(ruName(lang)+(isEng(lang)?' '+ruName(curSet):'')); lessonSel.innerHTML=''; updateToggle(); return; }
    stage.innerHTML=`<div class="state"><span class="ic">◴</span>Loading English ${esc(curSet)} lessons…</div>`; lessonSel.innerHTML='';	    stage.innerHTML=`<div class="state"><span class="ic">◴</span>Загружаем уроки: Английский ${esc(ruName(curSet))}…</div>`; lessonSel.innerHTML='';
    if(!LESSONS.length){ stage.innerHTML=notPublished('English '+curSet); lessonSel.innerHTML=''; updateToggle(); return; }	    if(!LESSONS.length){ stage.innerHTML=notPublished('Английский '+ruName(curSet)); lessonSel.innerHTML=''; updateToggle(); return; }
const MOON_NAMES=['New moon','Waxing crescent','First quarter','Waxing gibbous','Full moon','Waning gibbous','Last quarter','Waning crescent'];	const MOON_NAMES=['Новолуние','Растущий серп','Первая четверть','Растущая луна','Полнолуние','Убывающая луна','Последняя четверть','Убывающий серп'];
aria-label="Moon tonight: ${MOON.name}"	aria-label="Луна сегодня: ${MOON.name}"
role="button" title="listen">LISTEN</span>	role="button" title="слушать">LISTEN</span>
function updateSetLabel(){ setLbl.textContent=(langSel.value==='English')?'Pack':'Set';\n  const sf=document.getElementById('spellField'); if(sf) sf.hidden=!(SPELL_UI && langSel.value==='English'); }	function updateSetLabel(){ setLbl.textContent=(langSel.value==='English')?'Набор':'Раздел';\n  const sf=document.getElementById('spellField'); if(sf) sf.hidden=!(SPELL_UI && langSel.value==='English'); }
<label for="spellTog">Spelling</label>	<label for="spellTog">Написание</label>
aria-label="Spelling"	aria-label="Написание"
