# wordlists.html — en<TAB>ru. Multi-line values use \n.
>copy link</button>	>скопировать ссылку</button>
>post on X</a>	>опубликовать в X</a>
copyBtn.textContent='copied!'	copyBtn.textContent='скопировано!'
copyBtn.textContent='copy link'	copyBtn.textContent='скопировать ссылку'
function fillPacks(){	/* Display-only Russian labels. The VALUES stay English: LANGS/SETS are data\n   keys — dataUrl() builds data/<lang>/<SET>_FINAL.json from them. */\nconst RU_NAME = {\n  "Italian":"Итальянский","German":"Немецкий","Spanish":"Испанский","French":"Французский",\n  "Esperanto":"Эсперанто","Toki Pona":"Токи пона","English":"Английский",\n  "Core":"Core","Pareto 1":"Pareto 1","Pareto 2":"Pareto 2",\n  "Adept":"Adept","Advance":"Advance","German Roots":"German Roots","Greek Roots":"Greek Roots",\n  "Norman Roots":"Norman Roots","Latin Roots":"Latin Roots"\n};\nfunction ruName(x){ return RU_NAME[x] || x; }\n/* Russian needs three plural forms: 1 блок / 2 блока / 5 блоков */\nfunction plu(n,a,b,c){ var m=n%100; if(m>=11&&m<=14) return c; var d=n%10; return d===1?a:(d>=2&&d<=4?b:c); }\nfunction fillPacks(){
  packSel.innerHTML = LANGS.map(l=>`<option value="${l}">${l}</option>`).join('');	  packSel.innerHTML = LANGS.map(l=>`<option value="${l}">${ruName(l)}</option>`).join('');
  setSel.innerHTML = setsFor(packSel.value).map(s=>`<option value="${s}">${s}</option>`).join('');	  setSel.innerHTML = setsFor(packSel.value).map(s=>`<option value="${s}">${ruName(s)}</option>`).join('');
function clusterLabel(c){ return humanize(c.slug) || c.cluster_id || 'Cluster'; }	function clusterLabel(c){ return humanize(c.slug) || c.cluster_id || 'Блок'; }
    return `<optgroup label="Tier ${tn}">${opts}</optgroup>`;	    return `<optgroup label="Уровень ${tn}">${opts}</optgroup>`;
  if(!data||!idxs.length) return 'select cluster(s)';	  if(!data||!idxs.length) return 'выберите блоки';
  return contiguous ? `${tc(idxs[0])} to ${tc(idxs[idxs.length-1])}` : `${tc(idxs[0])} et al`;	  return contiguous ? `${tc(idxs[0])} – ${tc(idxs[idxs.length-1])}` : `${tc(idxs[0])} и др.`;
  view.innerHTML=`<div class="state"><span class="ic">◴</span>Loading ${esc(lang)} ${esc(set)}…</div>`;	  view.innerHTML=`<div class="state"><span class="ic">◴</span>Загружаем: ${esc(ruName(lang))} ${esc(ruName(set))}…</div>`;
    view.innerHTML=`<div class="state"><span class="ic">◈</span>${esc(lang)} ${esc(set)} isn't published yet — check back as packs ship.</div>`;	    view.innerHTML=`<div class="state"><span class="ic">◈</span>${esc(ruName(lang))} ${esc(ruName(set))} ещё не опубликован — загляните позже, наборы ещё выходят.</div>`;
  if(!idxs.length){ view.innerHTML=`<div class="state"><span class="ic">◧</span>Select one or more clusters above to view and print them.</div>`; return; }	  if(!idxs.length){ view.innerHTML=`<div class="state"><span class="ic">◧</span>Выберите выше один или несколько блоков, чтобы посмотреть и распечатать их.</div>`; return; }
  const bigLabel = (lang==='English') ? (data.language||set) : (lang+' '+set);	  const bigLabel = (lang==='English') ? ruName(data.language||set) : (ruName(lang)+' '+ruName(set));
    (data.level?`<span>${esc(data.level)}</span>`:'')+(data.total?`<span>${esc(data.total)} words</span>`:'')+\n    `<span>${data.clusters.length} clusters</span>`+\n    `<span class="sel">${idxs.length} cluster${idxs.length===1?'':'s'} selected · ${totalCards} cards</span></div>`;	    (data.level?`<span>${esc(data.level)}</span>`:'')+(data.total?`<span>${esc(data.total)} ${plu(data.total,'слово','слова','слов')}</span>`:'')+\n    `<span>${data.clusters.length} ${plu(data.clusters.length,'блок','блока','блоков')}</span>`+\n    `<span class="sel">выбрано ${idxs.length} ${plu(idxs.length,'блок','блока','блоков')} · ${totalCards} ${plu(totalCards,'карточка','карточки','карточек')}</span></div>`;
      <span class="tnum">TIER ${esc(c.tier)}</span>	      <span class="tnum">УРОВЕНЬ ${esc(c.tier)}</span>
      <span class="ccount">${words.length} words</span></div>	      <span class="ccount">${words.length} ${plu(words.length,'слово','слова','слов')}</span></div>
  setLbl.textContent = eng?'Pack':'Set';\n  setSel.setAttribute('aria-label', eng?'Pack':'Set');	  setLbl.textContent = eng?'Набор':'Раздел';\n  setSel.setAttribute('aria-label', eng?'Набор':'Раздел');
function normCards(cluster){\n  // foreign: {TargetWord,Translation}; English: {TargetWord,definition[,syn,ant,pos]}\n  return (cluster.cards||[]).map(c=>({ w:c.TargetWord,\n    t: c.definition!=null?c.definition:(c.Translation!=null?c.Translation:''),\n    syn:synOf(c), ant:antOf(c), pos:posOf(c) }));\n}	function gloss(c){ if(c.Translation_ru!=null&&c.Translation_ru!=='')return c.Translation_ru;   // page locale first; English packs carry no localized glosses (immersion ruling) and fall through\n  return c.definition!=null?c.definition:(c.Translation!=null?c.Translation:''); }\nfunction normCards(cluster){\n  // foreign: {TargetWord,Translation[,Translation_ru]}; English: {TargetWord,definition[,syn,ant,pos]}\n  return (cluster.cards||[]).map(c=>({ w:c.TargetWord,\n    t: gloss(c),\n    syn:synOf(c), ant:antOf(c), pos:posOf(c) }));\n}
