# about.html — en<TAB>ru. Drafted by deepseek-v4-flash, checked by qwen3-max, cross-refuted, Claude-adjudicated.
<span class="brand"><a class="logo" href="index.html">FLASHBOSS</a><span class="pipe">|</span><a href="home.html">home</a><span class="sep"> · </span><span class="here">about</span></span>	<span class="brand"><a class="logo" href="index.html">FLASHBOSS</a><span class="pipe">|</span><a href="home.html">главная</a><span class="sep"> · </span><span class="here">о проекте</span></span>
<li><a href="#pedagogy">Pedagogical design</a></li>	<li><a href="#pedagogy">Педагогический дизайн</a></li>
<li><a href="#scope">Scope</a></li>	<li><a href="#scope">Объем</a></li>
<li><a href="#effective">Using FlashBoss effectively</a></li>	<li><a href="#effective">Эффективное использование FlashBoss</a></li>
<h2>Overview</h2>	<h2>Обзор</h2>
<p>FlashBoss is a desktop terminal application for vocabulary acquisition. It combines a spaced-repetition scheduler, constructed example sentences with text-to-speech, themed content clusters, and a boss-fight graduation mechanic. The system is designed to develop receptive skills — reading, listening, and comprehension — in the target language.</p>	<p>FlashBoss — это настольное терминальное приложение для изучения словарного запаса. Оно объединяет планировщик интервального повторения, составленные примеры предложений с синтезом речи, тематические блоки контента и механику освоения через босс-файты. Система предназначена для развития рецептивных навыков — чтения, аудирования и понимания — в изучаемом языке.</p>
<p>A single Core pack contains 1,000 cards and delivers approximately 10,000 words of target-language input in context. Pareto expansion packs add roughly 20,000 words each, structured around the highest-frequency vocabulary not already covered. Supported languages are English, German, Spanish, Italian, and Esperanto.</p>	<p>Один набор Core содержит 1000 карточек и обеспечивает примерно 10000 слов изучаемого языка в контексте. Наборы расширения Pareto добавляют каждый примерно по 20000 слов, построенные вокруг наиболее частотной лексики, ещё не охваченной. Поддерживаемые языки: английский, немецкий, испанский, итальянский и эсперанто.</p>
<h2>Content architecture</h2>	<h2>Архитектура контента</h2>
<p>This section describes the internal structure common to FlashBoss packs. Pack-level organization — how packs combine, and how foreign-language packs differ from English packs — is documented in section 4.</p>	<p>В этом разделе описывается внутренняя структура, общая для наборов FlashBoss. Организация на уровне наборов — как наборы объединяются и чем наборы для иностранных языков отличаются от наборов для английского — описана в разделе 4.</p>
<h3>Card</h3>	<h3>Карточка</h3>
<p>Each card carries up to five text fields and two audio assets. Only the target-language fields are voiced:</p>	<p>Каждая карточка содержит до пяти текстовых полей и два аудиофайла. Озвучиваются только поля на изучаемом языке:</p>
<th>Field</th>	<th>Поле</th>
<th>Content</th>	<th>Содержание</th>
<td>The vocabulary item being trained. In gendered languages it carries its article, colour-coded to gender.</td>	<td>Словарная единица, которая тренируется. В языках с грамматическим родом она сопровождается артиклем, цветом обозначающим род.</td>
<td>Yes</td>	<td>Да</td>
<td>The target word's meaning in the learner's native language.</td>	<td>Значение целевого слова на родном языке учащегося.</td>
<td>No</td>	<td>Нет</td>
<td>A constructed sentence placing the target word in context, using only vocabulary the scheduler has already introduced.</td>	<td>Построенное предложение, помещающее целевое слово в контекст, используя только лексику, уже введённую планировщиком.</td>
<td>An idiomatic rendering of the example sentence in the learner's native language.</td>	<td>Идиоматический перевод примера предложения на родной язык учащегося.</td>
<td>Etymology, grammatical note, a second worked example, or a synonym set. Optional.</td>	<td>Этимология, грамматическое примечание, второй проработанный пример или набор синонимов. Опционально.</td>
<p>Text-to-speech is applied only to the target-language fields. This asymmetry is deliberate: the goal is to saturate the learner in the target language's phonology while keeping the native-language scaffolding silent and unintrusive.</p>	<p>Преобразование текста в речь применяется только к полям на целевом языке. Эта асимметрия намеренна: цель — насытить учащегося фонологией целевого языка, оставляя родноязычную опору беззвучной и ненавязчивой.</p>
<h3>Cluster</h3>	<h3>Блок</h3>
<p>A cluster is a themed group of cards — the unit of progress in FlashBoss. Clusters are introduced together, trained together, and graduated together through a single boss fight. Cluster themes are concrete and narrow: <em>Numbers and time</em>, <em>Travel and accommodation</em>, <em>Regional cuisine</em>, <em>Social roles and people</em>.</p>	<p>Блок — это тематическая группа карточек — единица прогресса в FlashBoss. Блоки вводятся вместе, тренируются вместе и осваиваются вместе через один босс-файт. Темы блоков конкретны и узки: <em>Числа и время</em>, <em>Путешествия и размещение</em>, <em>Региональная кухня</em>, <em>Социальные роли и люди</em>.</p>
<h3>Tier</h3>	<h3>Уровень</h3>
<p>Clusters sit inside tiers. A Core pack contains five tiers, each typically comprising around eight clusters. In foreign-language packs, tier membership is a difficulty gate: it governs which grammar structures may appear in a cluster's example sentences. Tier 3 example sentences are restricted to present, imperative, and preterite; tier 4 adds imperfect and conditional; tier 5 opens full grammar including subjunctive. In English packs the tier system is used thematically rather than syntactically — tier membership reflects topical domain (e.g. <em>Forms and documents</em>, <em>Social and email</em>, <em>Confusables</em>) rather than grammatical complexity.</p>	<p>Блоки находятся внутри уровней. Набор Core содержит пять уровней, каждый из которых обычно включает около восьми блоков. В наборах иностранных языков принадлежность к уровню является порогом сложности: она определяет, какие грамматические структуры могут появляться в примерах предложений блока. Примеры предложений уровня 3 ограничены настоящим, повелительным и претеритом; уровень 4 добавляет имперфект и условное наклонение; уровень 5 открывает полную грамматику, включая сослагательное наклонение. В английских наборах система уровней используется тематически, а не синтаксически — принадлежность к уровню отражает тематическую область (например, <em>Формы и документы</em>, <em>Социальное и email</em>, <em>Путаницы</em>), а не грамматическую сложность.</p>
<h3>Lesson</h3>	<h3>Урок</h3>
<p>Lessons are reference pages pinned to specific cards — checkpoint material that accompanies a card through training. When a card with an attached lesson first appears, the lesson appears alongside. Each time the card resurfaces under the spaced-repetition schedule, the lesson resurfaces with it. Lessons are therefore persistent reference, not one-time exposures. A learner who has internalized a lesson's content can deactivate it individually: the card continues training, the lesson stops appearing.</p>	<p>Уроки — это справочные страницы, прикреплённые к конкретным карточкам — справочный материал, который сопровождает карточку во время тренировки. Когда карточка с прикреплённым уроком появляется впервые, урок появляется рядом. Каждый раз, когда карточка снова появляется по расписанию интервального повторения, урок появляется вместе с ней. Таким образом, уроки являются постоянным справочным материалом, а не однократным показом. Ученик, который усвоил содержание урока, может отключить его индивидуально: карточка продолжает тренировку, урок перестаёт появляться.</p>
<h2>Masters</h2>	<h2>Мастера</h2>
<p>Before training begins, the learner chooses a master — the guide who sets the daily pace. A master fixes the <em>streak requirement</em>: the number of cards owed each day to keep the streak alive, ranging from 8 to 34 cards, roughly 5 to 30 minutes of study.</p>	<p>Перед началом тренировки ученик выбирает мастера — наставника, который задаёт ежедневный темп. Мастер устанавливает <em>требование к серии</em>: количество карточек, которые нужно выполнять каждый день, чтобы сохранить серию, от 8 до 34 карточек, что составляет примерно от 5 до 30 минут занятий.</p>
<th>Master</th>	<th>Мастер</th>
<th>Temperament</th>	<th>Темперамент</th>
<th>Cards / day</th>	<th>Карточек / день</th>
<td>🐺 Luna — gentle, encouraging</td>	<td>🐺 Luna — нежная, ободряющая</td>
<td>Bossy</td>	<td>Командирный</td>
<td>⚫ Claude — analytical, precise</td>	<td>⚫ Claude — аналитичный, точный</td>
<td>Advisory</td>	<td>Консультативный</td>
<td>🐉 Shen — stern, direct</td>	<td>🐉 Шэнь — строгий, прямой</td>
<td>🦉 Odiin — encouraging, kind</td>	<td>🦉 Odiin — ободряющий, добрый</td>
<td>🦊 Kitsune — playful trickster</td>	<td>🦊 Кицунэ — игривый трикстер</td>
<td>🦅 Aquila — noble, disciplined</td>	<td>🦅 Аквила — благородный, дисциплинированный</td>
<p>How demanding a master is comes down to that daily count. Odiin, at twenty-one cards, is the most demanding master recommended to a new learner — the high road. The two thirty-four-card masters, Kitsune and Aquila, sit beyond it: pacing for revision passes and for outliers who want the maximum.</p>	<p>Насколько требователен мастер, сводится к этому ежедневному количеству. Одиин, с двадцатью одной карточкой, — самый требовательный мастер, рекомендованный новому ученику — трудный путь. Два мастера с тридцатью четырьмя карточками, Кицунэ и Аквила, находятся за ним: темп для проходов повторения и для выбросов, желающих максимума.</p>
<p>A master's <em>temperament</em> is a separate matter, and it governs one thing — the grimoire. A <strong>bossy</strong> master limits grimoire sessions, a guard against running too far ahead and burning out. An <strong>advisory</strong> master warns that another is unwise, then steps aside and lets it happen. The two are otherwise identical.</p>	<p><em>Темперамент</em> мастера — это отдельный вопрос, и он управляет одной вещью — гримуаром. <strong>Властный</strong> мастер ограничивает сеансы гримуара, защита от забегания вперед и выгорания. <strong>Советующий</strong> мастер предупреждает, что другой неразумен, затем отступает в сторону и позволяет этому случиться. В остальном они идентичны.</p>
<p>The pairing is uneven. Both the thirteen- and thirty-four-card paces come in either temperament — Claude (advisory) or Shen (bossy) at thirteen, Kitsune (advisory) or Aquila (bossy) at thirty-four — so there, pace and style are chosen separately. The eight-card pace belongs to Luna alone (bossy) and the twenty-one to Odiin alone (advisory).</p>	<p>Пары неравны. Темпы на тринадцать и тридцать четыре карточки доступны в любом темпераменте — Клод (советующий) или Шен (властный) на тринадцать, Кицунэ (советующая) или Аквила (властный) на тридцать четыре — так что там темп и стиль выбираются отдельно. Темп на восемь карточек принадлежит только Луне (властная), а на двадцать один — только Одину (советующий).</p>
<h2>Pack structure</h2>	<h2>Структура набора</h2>
<p>A pack is FlashBoss's distribution unit: a standalone vocabulary set — typically 1,000 cards — with its own cluster structure, tier structure, and lesson library. Packs ship under two different paradigms depending on the language.</p>	<p>Набор — это единица распространения FlashBoss: автономный набор лексики — обычно 1000 карточек — со своей структурой блоков, уровней и библиотекой уроков. Наборы поставляются по двум разным парадигмам в зависимости от языка.</p>
<h3>Foreign-language packs: cumulative three-pack progression</h3>	<h3>Наборы для иностранных языков: кумулятивная прогрессия из трех наборов</h3>
<p>German, Spanish, Italian, and Esperanto each ship as a three-pack sequence: <strong>Core</strong>, <strong>Pareto 1</strong>, and <strong>Pareto 2</strong>. The progression is cumulative — each pack assumes the vocabulary introduced in previous packs and constructs new example sentences on top. Example sentences in Pareto 1 draw from Core vocabulary plus the new Pareto 1 target words; Pareto 2 assumes both prior packs. A learner completing all three reaches a 3,000-card receptive vocabulary in the target language.</p>	<p>Немецкий, испанский, итальянский и эсперанто поставляются как последовательность из трех наборов: <strong>Core</strong>, <strong>Pareto 1</strong> и <strong>Pareto 2</strong>. Прогрессия накопительная — каждый набор предполагает лексику, введенную в предыдущих наборах, и строит на их основе новые примеры предложений. Примеры в Pareto 1 используют лексику Core плюс новые целевые слова Pareto 1; Pareto 2 предполагает оба предыдущих набора. Учащийся, завершивший все три, достигает пассивного словарного запаса в 3000 карточек на целевом языке.</p>
<p>Tier numbering is continuous across the sequence. Core covers tiers 1–5. Pareto 1 and Pareto 2 between them extend the sequence by ten further tiers: tier 6 is the first Pareto tier, tier 15 is the last.</p>	<p>Нумерация уровней непрерывна по всей последовательности. Core охватывает уровни 1–5. Pareto 1 и Pareto 2 вместе продлевают последовательность еще на десять уровней: уровень 6 — первый уровень Pareto, уровень 15 — последний.</p>
<p>CEFR targets by pack:</p>	<p>Цели CEFR по наборам:</p>
<th>Pack</th>	<th>Набор</th>
<th>Cards</th>	<th>Карточки</th>
<th>Target</th>	<th>Цель</th>
<td>A1–A2 grammar exposure; prepares a learner for A2 immersion instruction.</td>	<td>Ознакомление с грамматикой A1–A2; готовит учащегося к обучению в условиях погружения на уровне A2.</td>
<td>High-frequency B1–B2 vocabulary; extends into registers absent from Core (travel, bureaucratic, social).</td>	<td>Высокочастотная лексика уровней B1–B2; расширяется за счёт регистров, отсутствующих в Core (путешествия, бюрократия, общение).</td>
<td>B2–C1 vocabulary; formal connectors, abstract registers, cultural content.</td>	<td>Лексика B2–C1; формальные связки, абстрактные регистры, культурный контент.</td>
<h3>English packs: individual standalones</h3>	<h3>Наборы английского: отдельные самостоятельные наборы</h3>
<p>English ships differently. Each English pack is a self-contained 1,000-word vocabulary set, and learners select packs based on level and interest rather than completing them in order. There is no cumulative progression — completing one English pack does not presuppose another. English packs fall into two structural families:</p>	<p>Английский распространяется иначе. Каждый набор английского — это самостоятельный лексический набор из 1000 слов, и учащиеся выбирают наборы по уровню и интересу, а не проходят их по порядку. Нет кумулятивного прогресса — завершение одного набора английского не предполагает другого. Наборы английского делятся на две структурные семьи:</p>
<li><strong>Level packs</strong> — vocabulary that pulls a reader up a level and leaves them there. <em>English Adept</em>, the free hub pack, spans the longest climb: it onramps from below an eighth-grade reading level and carries the learner up to university readiness, terminating around C1. <em>English Advance</em> targets the practical English of functioning in society without limitation: the forms, letters, officialdom, and everyday documents adult life demands. The guiding principle is to do it once, properly, and you will never have to think about it again.</li>	<li><strong>Уровневые наборы</strong> — лексика, которая поднимает читателя на уровень и оставляет его там. <em>English Adept</em>, бесплатный центральный набор, охватывает самый длинный подъём: он начинается с уровня чтения ниже восьмого класса и ведёт учащегося до готовности к университету, заканчивая примерно на C1. <em>English Advance</em> нацелен на практический английский для полноценной жизни в обществе без ограничений: формы, письма, бюрократию и повседневные документы, которые требует взрослая жизнь. Руководящий принцип — сделать это один раз правильно, и вам больше никогда не придётся об этом думать.</li>
<li><strong>The Roots series</strong> — paid packs that drill English vocabulary through its three etymological strata: <em>German Roots</em> (Anglo-Saxon), <em>Norman Roots</em> (Norman-French), and <em>Latin Roots</em> (scholarly). Cross-references between the three surface the historical doublets that give English its register system.</li>	<li><strong>Серия Roots</strong> — платные наборы, которые тренируют английскую лексику через три её этимологических слоя: <em>German Roots</em> (англосаксонский), <em>Norman Roots</em> (нормандско-французский), и <em>Latin Roots</em> (учёный). Перекрёстные ссылки между ними выявляют исторические дублеты, которые формируют регистровую систему английского.</li>
<h2>Session structure and scheduling</h2>	<h2>Структура сеанса и планирование</h2>
<p>A training session processes each card through five phases. The first four are per-card; the fifth is per-cluster.</p>	<p>Тренировочный сеанс обрабатывает каждую карточку через пять фаз. Первые четыре — на каждую карточку, пятая — на каждый блок.</p>
<h3>Listen</h3>	<h3>Слушай</h3>
<p>Piper text-to-speech audio plays the target word as it appears on screen. When the learner is ready, a key press displays and pronounces the example sentence. This is first exposure.</p>	<p>Аудио Piper (текст-в-речь) воспроизводит целевое слово, когда оно появляется на экране. Когда учащийся готов, нажатие клавиши отображает и произносит пример предложения. Это первое знакомство.</p>
<h3>Read</h3>	<h3>Читай</h3>
<p>At each step, reading the pronounced material aloud consolidates memory and improves the learner's pronunciation and speaking confidence. The learner then has time to parse the sentence, cross-reference the translation, and absorb the grammar in context.</p>	<p>На каждом шаге чтение произносимого материала вслух закрепляет память и улучшает произношение и уверенность в речи учащегося. Затем учащийся имеет время разобрать предложение, сверить перевод и усвоить грамматику в контексте.</p>
<h3>Repeat</h3>	<h3>Повторяй</h3>
<p>When the English translation is presented, replay controls become available: <code>Enter</code> replays the target word, and <code>6</code> replays the example sentence. Repeat cycles are unlimited at this phase; the learner moves forward when ready.</p>	<p>Когда представлен английский перевод, становятся доступны элементы управления воспроизведением: <code>Enter</code> воспроизводит заново целевое слово, а <code>6</code> воспроизводит заново пример предложения. Циклы повторения на этой фазе неограниченны; учащийся продолжает, когда готов.</p>
<h3>Rate</h3>	<h3>Оценивай</h3>
<p>The learner rates their recognition on a six-point scale (0 through 5). The rating shifts the card's position in a Fibonacci interval sequence (1, 2, 3, 5, 8, 13, 21… days), with a per-rating minimum interval applied as a floor. Rating 0 is a special case — a reset to 1 day regardless of the card's prior position.</p>	<p>Учащийся оценивает своё узнавание по шестибалльной шкале (от 0 до 5). Оценка сдвигает позицию карточки в последовательности интервалов Фибоначчи (1, 2, 3, 5, 8, 13, 21… дней), при этом для каждой оценки применяется минимальный интервал в качестве нижней границы. Оценка 0 — особый случай: сброс до 1 дня независимо от предыдущей позиции карточки.</p>
<th>Rating</th>	<th>Оценка</th>
<th>Meaning</th>	<th>Значение</th>
<th>Interval change</th>	<th>Изменение интервала</th>
<td>Forgot completely.</td>	<td>Полностью забыл.</td>
<td>Reset to 1 day.</td>	<td>Сброс до 1 дня.</td>
<td>Very poor.</td>	<td>Очень плохо.</td>
<td>Position −3 (minimum 1 day).</td>	<td>Позиция −3 (минимум 1 день).</td>
<td>Poor.</td>	<td>Плохо.</td>
<td>Position −2 (minimum 2 days).</td>	<td>Позиция −2 (минимум 2 дня).</td>
<td>Okay.</td>	<td>Нормально.</td>
<td>Position −1 (minimum 3 days).</td>	<td>Позиция −1 (минимум 3 дня).</td>
<td>Good.</td>	<td>Хорошо.</td>
<td>No change (minimum 5 days).</td>	<td>Без изменений (минимум 5 дней).</td>
<td>Perfect.</td>	<td>Отлично.</td>
<td>Position +1 (minimum 8 days).</td>	<td>Позиция +1 (минимум 8 дней).</td>
<p>The scale is calibrated to require aggressive rating for progress. Only a 5 advances a card; 4 holds position; 1 through 3 step the card backward through the Fibonacci schedule; 0 resets it to 1 day. The per-rating minimum intervals prevent a card's interval from collapsing on a bad rating, and they anchor the mastery rule.</p>	<p>Шкала откалибрована так, чтобы для прогресса требовалась агрессивная оценка. Только 5 продвигает карточку; 4 сохраняет позицию; 1–3 отодвигают карточку назад по расписанию Фибоначчи; 0 сбрасывает её на 1 день. Минимальные интервалы для каждой оценки предотвращают обвал интервала карточки при плохой оценке и закрепляют правило освоения.</p>
<h3>Card mastery</h3>	<h3>Освоение карточки</h3>
<p>A card is mastered on two consecutive 5 ratings. The mechanism is direct: a single 5 lifts the card's minimum interval to 8 days; a second 5 advances it to 13 days — the mastery threshold. From any starting position, two consecutive perfect recalls therefore carry a card to mastery.</p>	<p>Карточка считается освоенной после двух последовательных оценок 5. Механизм прост: одна оценка 5 поднимает минимальный интервал карточки до 8 дней; вторая оценка 5 продвигает его до 13 дней — порога освоения. Таким образом, с любой начальной позиции два последовательных идеальных припоминания доводят карточку до освоения.</p>
<h3>Daily sessions</h3>	<h3>Ежедневные занятия</h3>
<p>New cards are drawn into the deck one at a time in cluster order; cluster boundaries do not gate card introduction. Daily card volume follows a Fibonacci ratio — for a given day's session, review cards and new cards are drawn in proportion to consecutive Fibonacci numbers, so the mix approaches φ, the golden ratio.</p>	<p>Новые карточки добавляются в колоду по одной в порядке блоков; границы блоков не ограничивают ввод карточек. Ежедневное количество карточек следует соотношению Фибоначчи — для сессии данного дня карточки для повторения и новые карточки добавляются пропорционально последовательным числам Фибоначчи, так что смесь стремится к φ, золотому сечению.</p>
<h3>Bossfight ready?</h3>	<h3>Готов к босс-файту?</h3>
<p>A cluster becomes eligible for its boss fight when 80% of its cards are mastered — when 80% have reached the 13-day interval. You don't need to master every card to fight: but you do need to defeat your most challenging two cards in a row to win. Fight mechanics are discussed in detail in the following section.</p>	<p>Блок становится доступным для своего босс-файта, когда 80% его карточек освоены — когда 80% достигли интервала в 13 дней. Вам не нужно осваивать каждую карточку, чтобы сражаться: но вам нужно победить две самые сложные карточки подряд, чтобы выиграть. Механика боя подробно обсуждается в следующем разделе.</p>
<h2>The boss fight</h2>	<h2>Босс-файт</h2>
<p>The boss fight is the graduation mechanism for a cluster. It is the only way a cluster transitions out of active training. Unlike the Rate phase — which is self-assessed — the boss fight is adversarial and strictly multiple-choice. The learner and the boss share a single linear arena; the learner starts at the left, the boss stands further right. The task is to shove the boss off the far end. Sumo rules: only one remains on the platform.</p>	<p>Босс-файт — это механизм завершения блока. Это единственный способ, которым блок выходит из активного обучения. В отличие от фазы «Оценивай» — где вы оцениваете себя сами, — босс-файт состязательный и строго множественного выбора. Ученик и босс находятся на одной линейной арене; ученик начинает слева, босс стоит правее. Задача — столкнуть босса с дальнего конца. Правила сумо: на платформе остаётся только один.</p>
<p>Each turn presents one of the cluster's cards as a prompt, with eight possible answers on the number keys 1–8. A correct answer advances the learner one position along the track; the boss is simultaneously shoved one position closer to the far edge. A wrong answer slides the learner two positions back toward the near edge, or off of it. When pushed off the near edge, the learner is locked out of that cluster's fight until the next day. Shoved past the far edge, the boss is defeated and the cluster is conquered.</p>	<p>Каждый ход предъявляет одну из карточек кластера в качестве подсказки, с восемью возможными ответами на клавишах с цифрами 1–8. Правильный ответ продвигает ученика на одну позицию по дорожке; босса одновременно сдвигают на одну позицию ближе к дальнему краю. Неправильный ответ отодвигает ученика на две позиции назад к ближнему краю или за его пределы. Когда ученик выталкивается за ближний край, он блокируется в бою этого кластера до следующего дня. Если босс вытолкнут за дальний край, он побеждён, и кластер считается освоенным.</p>
<p class="bf-text">The arena: a single horizontal track the learner (left) and the boss (right) share, with a marker at the far edge — the boss's exit. A correct answer advances the learner one position and shoves the boss one closer to that edge; a wrong answer slides the learner two positions back. Positions 1–2 draw the cluster's easiest cards, positions 3–4 its hardest. Fall off the near edge and the cluster locks until the next day; shove the boss past the far edge and the cluster is conquered.</p>	<p class="bf-text">Арена: одна горизонтальная дорожка, которую делят ученик (слева) и босс (справа), с отметкой на дальнем краю — выход босса. Правильный ответ продвигает ученика на одну позицию и сдвигает босса на одну ближе к этому краю; неправильный ответ отодвигает ученика на две позиции назад. Позиции 1–2 берут самые лёгкие карточки кластера, позиции 3–4 — самые сложные. Падение за ближний край блокирует кластер до следующего дня; столкните босса за дальний край — и кластер считается освоенным.</p>
<span class="bf-hint">click to fight</span>	<span class="bf-hint">нажмите, чтобы сразиться</span>
<p>Card ordering inside the fight is deliberate. Positions 1 and 2 pull from the cluster's easiest cards — a warm-up that lets the learner build a positional lead. Positions 3 and 4 pull from the cluster's hardest: the weakest words in the deck, delivered as soon as the learner has started to gain ground. A wrong answer at position 3 or 4 slides the learner two positions back — landing on position 1 or 2 — and the missed card is reclassified as the learner's easiest from that moment on. Unfortunately, that means it's waiting for them: the same card, now sitting in the easy slots where they've just landed. A cluster cannot be conquered until its weakest cards are mastered.</p>	<p>Порядок карточек внутри боя продуман. Позиции 1 и 2 берут самые лёгкие карточки кластера — разминка, позволяющая ученику набрать позиционное преимущество. Позиции 3 и 4 берут самые сложные карточки кластера: самые слабые слова в колоде, которые появляются, как только ученик начал продвигаться. Неправильный ответ на позиции 3 или 4 отодвигает ученика на две позиции назад — оказываясь на позиции 1 или 2 — и пропущенная карточка переклассифицируется как самая лёгкая для ученика с этого момента. К сожалению, это означает, что она ждёт его: та же карточка, теперь находящаяся в лёгких слотах, куда он только что попал. Кластер не может быть освоен, пока его самые слабые карточки не будут освоены.</p>
<p>The design rationale is documented in section 7. In brief: the boss fight injects a bounded, low-stakes stressor that produces genuine retrieval pressure without the consequences of a real-world language failure. It also provides a discrete success state — cluster conquered — that the open-ended rhythm of spaced repetition otherwise lacks.</p>	<p>Обоснование дизайна описано в разделе 7. Вкратце: босс-файт вводит ограниченный стресс-фактор с низкими ставками, который создаёт реальное давление на извлечение из памяти без последствий реальной языковой неудачи. Он также обеспечивает дискретное состояние успеха — «кластер освоен» — которого иначе не хватает в открытом ритме интервального повторения.</p>
<h2>Pedagogical design</h2>	<h2>Педагогический дизайн</h2>
<p>FlashBoss's architecture reflects established findings in second-language acquisition and cognitive psychology. The relevant foundations:</p>	<p>Архитектура FlashBoss отражает установленные результаты исследований в области усвоения второго языка и когнитивной психологии. Соответствующие основы:</p>
<h3>Comprehensible input</h3>	<h3>Понятный ввод</h3>
<p>Krashen's input hypothesis [1] holds that learners acquire language most effectively when input is slightly above current competence — comprehensible enough to parse, demanding enough to extend. Example sentences in FlashBoss are constructed so that the target word is typically the only unknown element; the surrounding sentence is drawn from vocabulary the scheduler has already introduced. This calibrates comprehensibility to roughly 80–95% for the trained learner, placing each sentence in the <em>i+1</em> zone.</p>	<p>Гипотеза ввода Крашена [1] утверждает, что учащиеся усваивают язык наиболее эффективно, когда ввод немного выше текущего уровня компетенции — достаточно понятный, чтобы его можно было разобрать, и достаточно сложный, чтобы расширять границы. Примеры предложений в FlashBoss построены так, что целевое слово, как правило, является единственным неизвестным элементом; окружающее предложение составлено из лексики, которую планировщик уже ввел. Это настраивает понятность примерно до 80–95% для обученного учащегося, помещая каждое предложение в зону <em>i+1</em>.</p>
<h3>Retrieval practice</h3>	<h3>Практика извлечения</h3>
<p>Active recall produces stronger long-term retention than re-reading [2]. The Rate phase forces retrieval <em>before</em> the translation is revealed, applying the testing effect to every card exposure. Cards are not passively shown; they are actively recalled and self-assessed.</p>	<p>Активное припоминание обеспечивает более прочное долговременное запоминание, чем повторное чтение [2]. Фаза «Оценивай» заставляет извлекать информацию <em>до</em> того, как будет показан перевод, применяя эффект тестирования к каждому показу карточки. Карточки не показываются пассивно; они активно припоминаются и самостоятельно оцениваются.</p>
<h3>Spaced repetition</h3>	<h3>Интервальное повторение</h3>
<p>Memory decays along a predictable curve [3]. Reviewing a card just before forgetting consolidates the memory trace more efficiently than massed repetition. The Fibonacci interval sequence is one of several schedules that approximate the forgetting curve; it is used here for its simplicity, stability, and intuitive progression for the learner.</p>	<p>Память угасает по предсказуемой кривой [3]. Повторение карточки прямо перед забыванием закрепляет след памяти более эффективно, чем массированное повторение. Последовательность интервалов Фибоначчи — один из нескольких графиков, которые аппроксимируют кривую забывания; она используется здесь из-за своей простоты, стабильности и интуитивно понятной прогрессии для учащегося.</p>
<h3>Desirable difficulty</h3>	<h3>Желательная трудность</h3>
