# voices.html — en<TAB>ru. Drafted by deepseek-v4-flash, checked by qwen3-max, cross-refuted, Claude-adjudicated.
<div class="gloss">Every morning I have breakfast with my mother in the kitchen.</div>	<div class="gloss">Каждое утро я завтракаю с моей мамой на кухне.</div>
<div class="credit">paola · Piper voices</div>	<div class="credit">paola · голоса Piper</div>
<div class="meta">free in the base game</div>	<div class="meta">бесплатно в базовой игре</div>
<div class="where">Spoken by the <b>Esperanto voice</b> — every sound Toki Pona uses is already in Esperanto.</div>	<div class="where">Озвучено <b>голосом Esperanto</b> — все звуки, используемые в Toki Pona, уже есть в Esperanto.</div>
<div class="gloss">In the future, I want to learn Toki Pona.</div>	<div class="gloss">В будущем я хочу выучить Toki Pona.</div>
<div class="name">Latina <span class="soon">coming soon</span></div>	<div class="name">Latina <span class="soon">скоро</span></div>
<div class="meta">classical · male</div>	<div class="meta">классический · мужской</div>
<div class="where">Will come with <b>Latin Core</b> and <b>Latin Pareto 1</b>, releasing shortly. Trained for FlashBoss, with restored classical pronunciation.</div>	<div class="where">Будет включён в <b>Latin Core</b> и <b>Latin Pareto 1</b>, выходящих в ближайшее время. Обучен для FlashBoss, с восстановленным классическим произношением.</div>
<div class="gloss">At first light the enemy’s cavalry approaches the camp. (after Caesar)</div>	<div class="gloss">На рассвете вражеская конница приближается к лагерю. (по Цезарю)</div>
<h2>Voice DLC, sold on its own</h2>	<h2>Голосовой DLC, продаётся отдельно</h2>
<span class="note">a different accent, everywhere</span>	<span class="note">другой акцент, везде</span>
<p class="sec-intro">A voice DLC replaces the included voice across every pack in that language — cards, lessons, boss fights, the lot. Switch back to the built-in voice whenever you like; nothing is lost. Each card below also plays <b>the voice it replaces</b>, saying the same sentence, so you can hear exactly what changes before you spend anything.</p>	<p class="sec-intro">Голосовой DLC заменяет встроенный голос во всех наборах этого языка — карточки, уроки, босс-файты, всё. Переключайтесь обратно на встроенный голос когда угодно; ничего не теряется. Каждая карточка ниже также воспроизводит <b>голос, который она заменяет</b>, произнося то же самое предложение, чтобы вы могли точно услышать, что меняется, прежде чем что-либо потратить.</p>
<div class="name">British English (F)</div>	<div class="name">Британский английский (Ж)</div>
<div class="meta">Southern England · female</div>	<div class="meta">Южная Англия · женский</div>
<div class="where">Replaces the American voice across <b>every English pack</b>.</div>	<div class="where">Заменяет американский голос в <b>каждом наборе английского</b>.</div>
<div class="gloss">Listen to bottle, glass, water.</div>	<div class="gloss">Слушай bottle, glass, water.</div>
<span>Hear the same sentence in the included American voice</span>	<span>Послушайте то же предложение в прилагаемом американском голосе</span>
<div class="credit">British English Female · CC0 1.0</div>	<div class="credit">Британский английский женский · CC0 1.0</div>
<div class="meta">Spain · male</div>	<div class="meta">Испания · мужской</div>
<div class="where">Replaces the Latin American voice across <b>every Spanish pack</b>.</div>	<div class="where">Заменяет латиноамериканский голос в <b>каждом наборе испанского</b>.</div>
<div class="gloss">Listen to gracias and perseverancia.</div>	<div class="gloss">Слушайте gracias и perseverancia.</div>
<span>Hear the same sentence in the included Latin American voice</span>	<span>Услышьте то же предложение в прилагаемом латиноамериканском голосе</span>
<h2>The PiperTTS window — read anything</h2>	<h2>Окно PiperTTS — читайте что угодно</h2>
<div class="blurb"> <b>Press <span class="kbd">Ctrl</span> + <span class="kbd">P</span> anywhere in the game</b> and a pronunciation window opens. Paste in a word, a sentence, a paragraph of something you are reading — it speaks it in the voice you are learning with, and saves it to a file if you want to keep it. It works while a card is on screen, in the menus, in the middle of a boss fight. </div>	<div class="blurb"> <b>Нажмите <span class="kbd">Ctrl</span> + <span class="kbd">P</span> в любом месте игры</b> — и откроется окно произношения. Вставьте слово, предложение, абзац из того, что вы читаете — оно произнесёт это голосом, с которым вы учитесь, и сохранит в файл, если захотите оставить. Это работает, когда на экране карточка, в меню, в середине босс-файта. </div>
<div class="doors"> <a class="btn" href="home.html">FlashBoss Home</a> <a class="btn ghost" href="https://store.steampowered.com/app/4134440/FlashBoss/?utm_source=website-voices" target="_blank" rel="noopener">FlashBoss on Steam</a> </div>	<div class="doors"> <a class="btn" href="home.html">FlashBoss Главная</a> <a class="btn ghost" href="https://store.steampowered.com/app/4134440/FlashBoss/?utm_source=website-voices" target="_blank" rel="noopener">FlashBoss в Steam</a> </div>
<span class="footer-links">\n    <a href="home.html">home</a><span class="div">·</span>\n    <a href="manual/">walkthrough (beta)</a><span class="div">·</span>\n    <a href="about.html">how it works</a><span class="div">·</span>\n    <a href="packs.html">packs</a><span class="div">·</span>\n    <a href="https://store.steampowered.com/app/4134440/FlashBoss/?utm_source=website-voices">steam</a>\n  </span>	<span class="footer-links">\n    <a href="home.html">главная</a><span class="div">·</span>\n    <a href="manual/">руководство (бета)</a><span class="div">·</span>\n    <a href="about.html">как это работает</a><span class="div">·</span>\n    <a href="packs.html">наборы</a><span class="div">·</span>\n    <a href="https://store.steampowered.com/app/4134440/FlashBoss/?utm_source=website-voices">steam</a>\n  </span>
<div class="made">Voices run locally with Piper. Every clip here is unedited output from the shipping models.</div>	<div class="made">Голоса работают локально с Piper. Каждый клип здесь — это неотредактированный вывод из поставляемых моделей.</div>
<title>Voices — Hear Every FlashBoss Language | FlashBoss</title>	<title>Голоса — услышьте каждый язык FlashBoss | FlashBoss</title>
content="Hear the voices that speak FlashBoss before you buy anything. Real card sentences read by the exact neural voices the game ships — English (American and British), German, Spanish (Latin American and Castilian), French, Italian, Esperanto, Latin and Toki Pona. Text-to-speech runs offline on your own machine."	content="Услышьте голоса, которые говорят в FlashBoss, прежде чем что-либо купить. Реальные карточные предложения, озвученные точными нейросетевыми голосами, которые поставляются с игрой — английский (американский и британский), немецкий, испанский (латиноамериканский и кастильский), французский, итальянский, эсперанто, латынь и токи-пона. Синтез речи работает офлайн на вашем компьютере."
alt="The PiperTTS window: a voice picker set to English, a speed control at 1.0x, an empty text field with a Clear button, and Speak, Restart and Save buttons above the line &quot;Paste text in the field above.&quot;"	alt="Окно PiperTTS: выбор голоса установлен на английский, регулятор скорости на 1,0x, пустое текстовое поле с кнопкой Очистить, и кнопки Произнести, Перезапустить и Сохранить над строкой «Вставьте текст в поле выше»."
aria-label="Play the American English sample"	aria-label="Воспроизвести образец американского английского"
aria-label="Play the Esperanto sample"	aria-label="Воспроизвести образец эсперанто"
aria-label="Play the German sample"	aria-label="Воспроизвести образец немецкого"
aria-label="Play the Latin American Spanish sample"	aria-label="Воспроизвести образец латиноамериканского испанского"
aria-label="Play the French sample"	aria-label="Воспроизвести образец французского"
aria-label="Play the Italian sample"	Воспроизвести образец итальянского
aria-label="Play the Toki Pona sample"	aria-label="Воспроизвести образец Toki Pona"
aria-label="Play the Latin sample"	Воспроизвести образец латинского
aria-label="Play the British English sample"	Воспроизвести образец британского английского
aria-label="Play the included American voice saying the same sentence"	Воспроизвести включенный американский голос, произносящий ту же фразу
aria-label="Play the Castilian Spanish sample"	Воспроизвести образец кастильского испанского
aria-label="Play the included Latin American voice saying the same sentence"	Воспроизвести включенный латиноамериканский голос, произносящий ту же фразу
