# german-roots.html — en<TAB>ru. Drafted by deepseek-v4-flash, checked by qwen3-max, cross-refuted, Claude-adjudicated.
<span class="brand"><a class="logo" href="index.html">FLASHBOSS</a><span class="pipe">|</span><a href="home.html">home</a><span class="sep"> · </span><a href="packs.html">packs</a><span class="sep"> · </span><span class="here">German Roots</span></span>	<span class="brand"><a class="logo" href="index.html">FLASHBOSS</a><span class="pipe">|</span><a href="home.html">главная</a><span class="sep"> · </span><a href="packs.html">наборы</a><span class="sep"> · </span><span class="here">German Roots</span></span>
<p class="body">Before 1066, English was a Germanic language, and the words that survived from it are still the ones you reach for first: <b>house, drink, eat, fight, begin, understand</b>. Short. Concrete. The words children learn, the words you think in, the words that carry weight without trying.</p>	<p class="body">До 1066 года английский был германским языком, и слова, которые от него сохранились, — это те, к которым вы обращаетесь в первую очередь: <b>house, drink, eat, fight, begin, understand</b>. Короткие. Конкретные. Слова, которые дети учат, слова, на которых вы думаете, слова, которые несут вес без усилий.</p>
<p class="body">They are also the most productive layer in the language. Germanic English builds by clicking whole words together — <span class="rt">break</span><span class="af">through</span>, <span class="af">under</span><span class="rt">stand</span>, <span class="rt">week</span><span class="rt">end</span> — and by bolting on a small kit of native pieces: the prefixes <b>fore-, over-, un-, mis-</b> and the endings <b>-ness, -dom, -hood, -ful</b>. Add the phrasal verbs — <b>give up, find out, get over</b>, the despair of every learner — and you have the machinery behind a huge share of everyday English.</p>	<p class="body">Они также самый продуктивный слой в языке. Германский английский строит, соединяя целые слова вместе — <span class="rt">break</span><span class="af">through</span>, <span class="af">under</span><span class="rt">stand</span>, <span class="rt">week</span><span class="rt">end</span> — и добавляя небольшой набор родных частей: префиксы <b>fore-, over-, un-, mis-</b> и окончания <b>-ness, -dom, -hood, -ful</b>. Добавьте фразовые глаголы — <b>give up, find out, get over</b> — отчаяние каждого учащегося — и вы получите механизм, стоящий за огромной долей повседневного английского.</p>
<div class="h">What you learned first</div>	<div class="h">Что вы выучили первым</div>
<p>house, drink, fight. The plain, early words — the half of English you never had to study.</p>	<p>house, drink, fight. Простые, ранние слова — та половина английского, которую вам никогда не нужно было учить.</p>
<div class="h">How it builds</div>	<div class="h">Как это строится</div>
<p>Click them together, bolt on the native endings, add a particle — and the small old core throws off half the dictionary.</p>	<p>Соединяйте их вместе, прикрепляйте родные окончания, добавляйте частицу — и маленькое старое ядро даёт половину словаря.</p>
<span class="tag">Words made of words</span>	<span class="tag">Слова, составленные из слов</span>
<h2>A word is an assembly</h2>	<h2>Слово — это сборка</h2>
<p class="sub">German English builds from pieces you already own. Tap one to take it apart.</p>	<p class="sub">Немецко-английский строится из частей, которые у вас уже есть. Нажмите на одну, чтобы разобрать её.</p>
<div class="legend">\n        <span><i class="lrt"></i> root — the plain word, usually one you know</span>\n        <span><i class="laf"></i> affix or particle — the native bit that bolts on</span>\n      </div>	<div class="legend">\n        <span><i class="lrt"></i> корень — простое слово, обычно то, которое вы знаете</span>\n        <span><i class="laf"></i> аффикс или частица — родной элемент, который прикручивается</span>\n      </div>
<div class="gloss-top">to grasp the meaning of something</div>	<div class="gloss-top">понять смысл чего-либо</div>
<div class="parts">\n            <span class="m af">under<i>among, beneath</i></span>\n            <span class="m rt">stand<i>to stand</i></span>\n          </div>	<div class="parts">\n            <span class="m af">under<i>среди, под</i></span>\n            <span class="m rt">stand<i>стоять</i></span>\n          </div>
<div class="sum">A metaphor worn smooth by use: to stand in the midst of a thing is, somehow, to grasp it.</div>	<div class="sum">Метафора, стёртая от использования: стоять в середине вещи — значит, каким-то образом, схватить её.</div>
<div class="hint">tap to take apart</div>	<div class="hint">нажмите, чтобы разобрать</div>
<div class="gloss-top">to say in advance what will happen</div>	<div class="gloss-top">сказать заранее, что произойдёт</div>
<div class="parts">\n            <span class="m af">fore<i>before, ahead</i></span>\n            <span class="m rt">cast<i>to throw</i></span>\n          </div>	<div class="parts">\n            <span class="m af">fore<i>перед, впереди</i></span>\n            <span class="m rt">cast<i>бросать</i></span>\n          </div>
<div class="sum">To throw your sight ahead. The same fore- builds foresee, foreword, foreboding.</div>	<div class="sum">Бросить свой взгляд вперёд. Тот же fore- образует foresee, foreword, foreboding.</div>
<div class="gloss-top">a land ruled by a king</div>	<div class="gloss-top">земля, которой правит король</div>
<div class="parts">\n            <span class="m rt">king<i>the ruler</i></span>\n            <span class="m af">-dom<i>domain, condition</i></span>\n          </div>	<div class="parts">\n            <span class="m rt">king<i>правитель</i></span>\n            <span class="m af">-dom<i>область, состояние</i></span>\n          </div>
<div class="sum">One ending, a whole shelf of nouns: freedom, wisdom, boredom, stardom — the state or realm of a thing.</div>	<div class="sum">Одно окончание, целая полка существительных: freedom, wisdom, boredom, stardom — состояние или область чего-либо.</div>
<div class="gloss-top">to stop trying; to surrender</div>	<div class="gloss-top">перестать пытаться; сдаться</div>
<div class="parts">\n            <span class="m rt">give<i>plain verb</i></span>\n            <span class="m af">up<i>particle</i></span>\n          </div>	<div class="parts">\n            <span class="m rt">give<i>простой глагол</i></span>\n            <span class="m af">up<i>частица</i></span>\n          </div>
<div class="sum">The phrasal verb — a plain verb plus a little word, and the meaning turns on a hinge. give in, give out, give up: three different surrenders.</div>	<div class="sum">Фразовый глагол — простой глагол плюс маленькое слово, и значение поворачивается на шарнире. give in, give out, give up: три разных способа сдаться.</div>
<h2>The native bolts</h2>	<h2>Родные болты</h2>
<p class="sub">A handful of old prefixes that snap onto almost any plain word — and change it.</p>	<p class="sub">Горстка старых префиксов, которые крепятся почти к любому обычному слову — и меняют его.</p>
<div class="head"><span>Prefix</span><span>What it does</span></div>	<div class="head"><span>Префикс</span><span>Что он делает</span></div>
<div class="v"><b>before, ahead</b> — forecast, foresee, foresight, forewarn</div>	<div class="v"><b>перед, впереди</b> — forecast, foresee, foresight, forewarn</div>
<div class="v"><b>above; too much</b> — overflow, overlook, overthrow, overpower</div>	<div class="v"><b>выше; слишком много</b> — overflow, overlook, overthrow, overpower</div>
<div class="v"><b>beneath; too little</b> — understand, undertake, undergo, underdog</div>	<div class="v"><b>под; слишком мало</b> — understand, undertake, undergo, underdog</div>
<div class="v"><b>beyond; surpassing</b> — outdo, outlast, outweigh, outwit</div>	<div class="v"><b>за пределами; превосходящий</b> — outdo, outlast, outweigh, outwit</div>
<div class="v"><b>reversal; undoing</b> — undo, uncover, unfold, unleash</div>	<div class="v"><b>обратное действие; отмена</b> — undo, uncover, unfold, unleash</div>
<div class="v"><b>wrongly; badly</b> — mistake, misjudge, misbehave, mistrust</div>	<div class="v"><b>неправильно; плохо</b> — mistake, misjudge, misbehave, mistrust</div>
<div class="v"><b>thoroughly; make into</b> — befriend, behold, bewitch, bewilder</div>	<div class="v"><b>тщательно; превращать в</b> — befriend, behold, bewitch, bewilder</div>
<div class="v"><b>upward; into being</b> — uphold, upgrade, upheaval, uprising</div>	<div class="v"><b>вверх; в бытие</b> — uphold, upgrade, upheaval, uprising</div>
<h2>The words you already know</h2>	<h2>Слова, которые вы уже знаете</h2>
<p class="sub">If your first language is Germanic, this layer was never foreign — it is a cousin you haven't been introduced to.</p>	<p class="sub">Если ваш родной язык — германский, этот слой никогда не был чужим — это кузен, с которым вас ещё не познакомили.</p>
<div class="stem">\n          <span class="glyph"><span class="rt">father</span> · <span class="af">Vater</span></span>\n          <span class="mean">not borrowed — the same word, drifted apart for 1,500 years</span>\n        </div>	<div class="stem">\n          <span class="glyph"><span class="rt">father</span> · <span class="af">Vater</span></span>\n          <span class="mean">не заимствовано — то же слово, разошедшееся за 1500 лет</span>\n        </div>
<p class="note">If your first language is German, Dutch, or a Nordic tongue, a large part of this pack is <b>already yours</b> — you only have to be shown the seam. The pack makes the cousins explicit and turns the shared ancestor into an unfair advantage.</p>	<p class="note">Если ваш родной язык — немецкий, нидерландский или скандинавский, большая часть этого набора <b>уже ваша</b> — вам нужно лишь показать шов. Набор делает кузенов явными и превращает общего предка в несправедливое преимущество.</p>
<div class="stem">\n          <span class="glyph"><span class="af">p</span> &rarr; <span class="rt">f</span></span>\n          <span class="mean">Grimm's Law — the sound shift that split Germanic from Latin</span>\n        </div>	<div class="stem">\n          <span class="glyph"><span class="af">p</span> &rarr; <span class="rt">f</span></span>\n          <span class="mean">Grimm's Law — звуковой сдвиг, отделивший германские языки от латыни</span>\n        </div>
<div class="fan">\n          <span class="pair"><span class="w af">pater</span><span class="arr">→</span><span class="w rt">father</span></span>\n          <span class="pair"><span class="w af">piscis</span><span class="arr">→</span><span class="w rt">fish</span></span>\n          <span class="pair"><span class="w af">ped-</span><span class="arr">→</span><span class="w rt">foot</span></span>\n          <span class="pair"><span class="w af">tres</span><span class="arr">→</span><span class="w rt">three</span></span>\n          <span class="pair"><span class="w af">cornu</span><span class="arr">→</span><span class="w rt">horn</span></span>\n          <span class="pair"><span class="w af">canis</span><span class="arr">→</span><span class="w rt">hound</span></span>\n        </div>	<div class="fan">\n          <span class="pair"><span class="w af">pater</span><span class="arr">→</span><span class="w rt">отец</span></span>\n          <span class="pair"><span class="w af">piscis</span><span class="arr">→</span><span class="w rt">рыба</span></span>\n          <span class="pair"><span class="w af">ped-</span><span class="arr">→</span><span class="w rt">стопа</span></span>\n          <span class="pair"><span class="w af">tres</span><span class="arr">→</span><span class="w rt">три</span></span>\n          <span class="pair"><span class="w af">cornu</span><span class="arr">→</span><span class="w rt">рог</span></span>\n          <span class="pair"><span class="w af">canis</span><span class="arr">→</span><span class="w rt">гончая</span></span>\n        </div>
<p class="note">One law runs under every cognate. Latin's <b>p</b> is English's <b>f</b>; its <b>t</b> is English's <b>th</b>; its hard <b>c</b> is English's <b>h</b>. Once you hear the shift, the whole family tree snaps into focus — and the Latin Roots pack starts to rhyme with this one.</p>	<p class="note">Одно правило лежит в основе всех родственных слов. Латинское <b>p</b> — это английское <b>f</b>; латинское <b>t</b> — это английское <b>th</b>; твёрдое латинское <b>c</b> — это английское <b>h</b>. Как только вы услышите этот сдвиг, всё генеалогическое дерево встанет на свои места — и набор Latin Roots начнёт рифмоваться с этим.</p>
<span class="tag">Watch the layer go deep</span>	<span class="tag">Смотрите, как слой уходит вглубь</span>
<h2>From the first word to the deep tongue</h2>	<h2>От первого слова до глубинного языка</h2>
<p class="sub">The pack runs five tiers, T1 to T5 — from the word a child meets first to the old root underneath it all.</p>	<p class="sub">Набор состоит из пяти уровней, от T1 до T5 — от слова, которое ребёнок встречает первым, до древнего корня, лежащего в основе всего.</p>
<li class="reveal"><span class="wd">sunlight</span><span class="df">sun + light — the plainest compound, transparent to a five-year-old</span></li>	<li class="reveal"><span class="wd">sunlight</span><span class="df">sun + light — простейшее сложное слово, прозрачное для пятилетнего ребёнка</span></li>
<li class="reveal"><span class="wd">understand</span><span class="df">under + stand — an everyday word with a worn-smooth metaphor inside it</span></li>	<li class="reveal"><span class="wd">понимать</span><span class="df">under + stand — повседневное слово со стёртой метафорой внутри</span></li>
<li class="reveal"><span class="wd">freedom</span><span class="df">free + dom — an abstraction built from an old ending meaning "domain, condition"</span></li>	<li class="reveal"><span class="wd">свобода</span><span class="df">free + dom — абстракция, построенная на старом окончании, означающем «область, состояние»</span></li>
<li class="reveal"><span class="wd">wyrd</span><span class="df">Old English for fate; it survived, worn down, as the modern word "weird"</span></li>	<li class="reveal"><span class="wd">wyrd</span><span class="df">Древнеанглийское слово для судьбы; оно сохранилось, стёршись, как современное слово "weird"</span></li>
<li class="reveal"><span class="wd">word-hoard</span><span class="df">wordhord — the Old English kenning for the store of words you carry inside you</span></li>	<li class="reveal"><span class="wd">word-hoard</span><span class="df">wordhord — древнеанглийский кеннинг для запаса слов, который вы носите внутри себя</span></li>
<span class="tag">How it sticks</span>	<span class="tag">Как это запоминается</span>
<h2>Flashcards as an integrated system</h2>	<h2>Карточки как интегрированная система</h2>
<dt>Cards</dt>	<dt>Карточки</dt>
<dd>1,000 words across 48 clusters — each card carries a definition, an example sentence, and a usage note that places the word precisely.</dd>	<dd>1000 слов в 48 блоках — каждая карточка содержит определение, пример предложения и примечание об употреблении, которое точно помещает слово.</dd>
<dt>Fibonacci SRS</dt>	<dt>SRS Фибоначчи</dt>
<dd>Rate each card 0–5. The better you know a word, the longer before it returns — spaced repetition on Fibonacci intervals.</dd>	<dd>Оценивайте каждую карточку от 0 до 5. Чем лучше вы знаете слово, тем дольше оно не возвращается — интервальное повторение по интервалам Фибоначчи.</dd>
<dt>Boss fights</dt>	<dt>Босс-файты</dt>
<dd>Each cluster — a prefix, a family of compounds, a set of phrasal verbs — is gated by a duel you can't win without its hardest members.</dd>	<dd>Каждый блок — префикс, семейство сложных слов, набор фразовых глаголов — закрыт дуэлью, которую вы не можете выиграть без его самых сложных членов.</dd>
<dt>Graduation</dt>	<dt>Освоение</dt>
<dd>Beat a cluster and its cards leave your daily deck for good. The deck gets smaller as you learn.</dd>	<dd>Победите блок, и его карточки навсегда покидают вашу ежедневную колоду. Колода становится меньше по мере обучения.</dd>
<dt>How words build</dt>	<dt>Как строятся слова</dt>
<dd>Where a word is a compound or carries a native prefix or ending, the note shows the parts — so understand comes apart into under + stand.</dd>	<dd>Если слово является сложным или имеет родной префикс или окончание, заметка показывает части — так что understand распадается на under + stand.</dd>
<dt>Audio</dt>	<dt>Аудио</dt>
<dd>Clean Piper text-to-speech on every word and example sentence.</dd>	<dd>Качественный текст-в-речь от Piper для каждого слова и примера предложения.</dd>
<dt>Lessons</dt>	<dt>Уроки</dt>
<dd>Reference lessons fire at the point in the sequence where they unlock what you're about to read.</dd>	<dd>Справочные уроки запускаются в точке последовательности, где они открывают то, что вы собираетесь прочитать.</dd>
<h2>Part of the Roots Series</h2>	<h2>Часть серии Roots</h2>
<p class="sub">The shape of English and its neighbours, made visible.</p>	<p class="sub">Форма английского языка и его соседей, ставшая видимой.</p>
<div class="lvl">1,000 words</div>	<div class="lvl">1000 слов</div>
<p>The Germanic backbone of everyday English — the words you already half-know.</p>	<p>Германская основа повседневного английского — слова, которые вы уже наполовину знаете.</p>
<span class="here">You are here</span>	<span class="here">Вы здесь</span>
<p>The second English — 1066 and the French that came with it.</p>	<p>Второй английский — 1066 год и французский язык, пришедший с ним.</p>
<p>English built from its parts — the classical and scientific layer, assembled.</p>	<p>Английский, построенный из своих частей — классический и научный слой, собранный воедино.</p>
<p>The vocabulary of science, medicine, and abstraction — the layer above Latin.</p>	<p>Лексика науки, медицины и абстракций — слой над латынью.</p>
<h2>Learn the words you think in.</h2>	<h2>Учите слова, которыми вы думаете.</h2>
<p>1,000 words · 48 clusters · the native prefixes, compounds, and phrasal verbs · how every word is built. The complete word list, every reference lesson, and a playable boss-fight demo are on the website.</p>	<p>1000 слов · 48 блоков · исконные префиксы, сложные слова и фразовые глаголы · как строится каждое слово. Полный список слов, все справочные уроки и играбельное демо босс-файта на сайте.</p>
<a class="btn warm" href="https://store.steampowered.com/app/4475060/FlashBoss__German_Roots/?utm_source=website">Get German Roots on Steam &rarr;</a>	<a class="btn warm" href="https://store.steampowered.com/app/4475060/FlashBoss__German_Roots/?utm_source=website">Купить German Roots в Steam &rarr;</a>
<p class="epi">“Wordhord onlēac.”<br>He unlocked his word-hoard.<br><span class="epi-cite">— Beowulf, Old English, c. 8th–11th century</span></p>	<p class="epi">“Wordhord onlēac.”<br>Он отпер свой словесный тайник.<br><span class="epi-cite">— Beowulf, древнеанглийский, ок. VIII–XI века</span></p>
<span class="footer-links">\n    <a href="home.html">home</a>\n    <span class="div">·</span>\n    <a href="packs.html">packs</a>\n    <span class="div">·</span>\n    <a href="manual/">walkthrough (beta)</a>\n    <span class="div">·</span>\n    <a href="https://store.steampowered.com/app/4475060/FlashBoss__German_Roots/?utm_source=website">steam</a>\n  </span>	<span class="footer-links">\n    <a href="home.html">главная</a>\n    <span class="div">·</span>\n    <a href="packs.html">наборы</a>\n    <span class="div">·</span>\n    <a href="manual/">руководство (beta)</a>\n    <span class="div">·</span>\n    <a href="https://store.steampowered.com/app/4475060/FlashBoss__German_Roots/?utm_source=website">Steam</a>\n  </span>
content="FlashBoss German Roots: the oldest layer of English. The Anglo-Saxon core you already think in — native prefixes, compounds, phrasal verbs, and the words you share with German, Dutch, and the Nordic tongues. 1,000 words, 48 clusters, spaced repetition, boss fights, and text-to-speech."	FlashBoss German Roots: древнейший слой английского. Англосаксонское ядро, на котором вы уже мыслите — исконные префиксы, сложные слова, фразовые глаголы и слова, общие с немецким, нидерландским и скандинавскими языками. 1000 слов, 48 блоков, интервальное повторение, босс-файты и синтез речи.
