# toki-pona.html — en<TAB>ru. Drafted by deepseek-v4-flash, checked by qwen3-max, cross-refuted, Claude-adjudicated.
<span class="brand"><a class="logo" href="index.html">FLASHBOSS</a><span class="pipe">|</span><a href="home.html">home</a><span class="sep"> · </span><a href="packs.html">packs</a><span class="sep"> · </span><span class="here">Toki Pona</span></span>	<span class="brand"><a class="logo" href="index.html">FLASHBOSS</a><span class="pipe">|</span><a href="home.html">главная</a><span class="sep"> · </span><a href="packs.html">наборы</a><span class="sep"> · </span><span class="here">Toki Pona</span></span>
<div class="gloss"><b>tree</b> — <i>kasi</i> (plant, leaf) + <i>suli</i> (big, tall): the big plant</div>	<div class="gloss"><b>дерево</b> — <i>kasi</i> (растение, лист) + <i>suli</i> (большой, высокий): большое растение</div>
<h2>A handful of words that carry the rest</h2>	<h2>Горстка слов, которые несут всё остальное</h2>
<p class="sub">Four cards from the pack. Tap to flip.</p>	<p class="sub">Четыре карточки из набора. Нажмите, чтобы перевернуть.</p>
<div class="art">the whole worldview</div>	<div class="art">целое мировоззрение</div>
<div class="trans">good, simple, useful, kind, friendly; goodness, simplicity. On its own it means &ldquo;great!&rdquo; or &ldquo;thanks!&rdquo; One of the most-used words in the language, and half of its name.</div>	<div class="trans">хороший, простой, полезный, добрый, дружелюбный; доброта, простота. Само по себе означает &laquo;отлично!&raquo; или &laquo;спасибо!&raquo; Одно из самых употребляемых слов в языке и половина его названия.</div>
<div class="hint">tap to flip</div>	<div class="hint">нажмите, чтобы перевернуть</div>
<div class="art">particle</div>	<div class="art">частица</div>
<div class="trans">Regroups the words after it into one bunch, so a later describing word sticks to the whole group rather than only the last word — <i>jan pi toki pona</i> is a person <i>of</i> Toki Pona. &ldquo;This is a Toki Pona speaker.&rdquo;</div>	<div class="trans">Объединяет следующие за ним слова в одну группу, чтобы последующее описывающее слово относилось ко всей группе, а не только к последнему слову — <i>jan pi toki pona</i> — это человек <i>таки-поны</i>. &laquo;Это носитель токи-поны.&raquo;</div>
<div class="trans">Sets the scene: everything before <i>la</i> is the when, the if, or the as-for of what follows. The language's all-purpose context marker. &ldquo;As for me, I'm fine.&rdquo;</div>	<div class="trans">Задаёт сцену: всё, что до <i>la</i>, — это когда, если или что касается последующего. Универсальный маркер контекста языка. &ldquo;Что касается меня, я в порядке.&rdquo;</div>
<div class="art">community</div>	<div class="art">сообщество</div>
<div class="trans">A raccoon, or a related animal in the raccoon and weasel family. Coined as an April Fools' joke in 2009 — the longest word in a language built on shortness. It stuck, and it is now one of the community's best-loved words.</div>	<div class="trans">Енот или родственное животное из семейства енотовых и куньих. Придумано как первоапрельская шутка в 2009 году — самое длинное слово в языке, построенном на краткости. Оно прижилось и теперь является одним из самых любимых слов в сообществе.</div>
<span class="tag">Grammar, on time</span>	<span class="tag">Грамматика, о времени</span>
<h2>Thirteen lessons, each at its own door</h2>	<h2>Тринадцать уроков, каждый у своей двери</h2>
<p class="sub">No grammar chapter to wade through first. Every particle gets a lesson, and that lesson fires at the exact card where the particle first appears — so you read the rule the moment you need it, and never before.</p>	<p class="sub">Не нужно сначала продираться через главу грамматики. Каждая частица получает урок, и этот урок срабатывает на той самой карточке, где частица появляется впервые — так что вы читаете правило в тот момент, когда оно нужно, и не раньше.</p>
<li><span class="no">00</span>Welcome to Toki Pona<span class="fire">fires at <i lang="tok">toki</i> — card one</span></li>	<li><span class="no">00</span>Добро пожаловать в Toki Pona<span class="fire">срабатывает на <i lang="tok">toki</i> — карточка первая</span></li>
<li><span class="no">01</span><i lang="tok">mi</i> / <i lang="tok">sina</i> need no &lsquo;to be&rsquo;<span class="fire">fires at <i lang="tok">mi pona</i></span></li>	<li><span class="no">01</span><i lang="tok">mi</i> / <i lang="tok">sina</i> не нуждаются в &lsquo;to be&rsquo;<span class="fire">срабатывает на <i lang="tok">mi pona</i></span></li>
<li><span class="no">02</span><i lang="tok">li</i> — the is/does link<span class="fire">fires at <i lang="tok">jan</i></span></li>	<li><span class="no">02</span><i lang="tok">li</i> — связка есть/делает<span class="fire">срабатывает на <i lang="tok">jan</i></span></li>
<li><span class="no">03</span><i lang="tok">o</i> — commands and calls<span class="fire">fires at <i lang="tok">o</i></span></li>	<li><span class="no">03</span><i lang="tok">o</i> — команды и обращения<span class="fire">срабатывает на <i lang="tok">o</i></span></li>
<li><span class="no">04</span><i lang="tok">pi</i> — grouping modifiers<span class="fire">fires at <i lang="tok">pi</i></span></li>	<li><span class="no">04</span><i lang="tok">pi</i> — группировка модификаторов<span class="fire">срабатывает на <i lang="tok">pi</i></span></li>
<li><span class="no">05</span>Modifiers come after<span class="fire">fires at <i lang="tok">jan pona</i></span></li>	<li><span class="no">05</span>Модификаторы ставятся после<span class="fire">срабатывает на <i lang="tok">jan pona</i></span></li>
<li><span class="no">06</span>Asking questions<span class="fire">fires at <i lang="tok">seme</i></span></li>	<li><span class="no">06</span>Задаём вопросы<span class="fire">срабатывает на <i lang="tok">seme</i></span></li>
<li><span class="no">07</span>Preverbs tint the verb<span class="fire">fires at <i lang="tok">wile</i></span></li>	<li><span class="no">07</span>Превербы окрашивают глагол<span class="fire">вспыхивает на <i lang="tok">wile</i></span></li>
<li><span class="no">08</span><i lang="tok">la</i> — setting the scene<span class="fire">fires at <i lang="tok">ken la</i></span></li>	<li><span class="no">08</span><i lang="tok">la</i> — задаём сцену<span class="fire">срабатывает на <i lang="tok">ken la</i></span></li>
<li><span class="no">09</span><i lang="tok">e</i> — marking the object<span class="fire">fires in tier 2</span></li>	<li><span class="no">09</span><i lang="tok">e</i> — обозначаем объект<span class="fire">срабатывает на уровне 2</span></li>
<li><span class="no">10</span>Numbers, few colours<span class="fire">fires at <i lang="tok">wan</i></span></li>	<li><span class="no">10</span>Числа, несколько цветов<span class="fire">срабатывает на <i lang="tok">wan</i></span></li>
<li><span class="no">11</span>Six small prepositions<span class="fire">fires at <i lang="tok">poka</i></span></li>	<li><span class="no">11</span>Шесть маленьких предлогов<span class="fire">срабатывает на <i lang="tok">poka</i></span></li>
<li><span class="no">12</span><i lang="tok">nasin</i>, <i lang="tok">pu</i> and <i lang="tok">ku</i><span class="fire">fires at <i lang="tok">ku</i></span></li>	<li><span class="no">12</span><i lang="tok">nasin</i>, <i lang="tok">pu</i> и <i lang="tok">ku</i><span class="fire">срабатывает на <i lang="tok">ku</i></span></li>
<h2>You don't have to come through English</h2>	<h2>Вам не нужно проходить через английский</h2>
<div class="lab">English</div>	<div class="lab">English</div>
<div class="val">to speak, talk, communicate, think; language, a conversation</div>	<div class="val">говорить, разговаривать, общаться, думать; язык, разговор</div>
<div class="lab">Deutsch</div>	<div class="lab">Deutsch</div>
<div class="lab">Español</div>	<div class="lab">Español</div>
<h2>It costs nothing</h2>	<h2>Ничего не стоит</h2>
<p class="sub">There is no Toki Pona DLC. There is nothing to add to a basket.</p>	<p class="sub">Нет DLC для Toki Pona. Нечего добавлять в корзину.</p>
<span class="badge">Included free</span>	<span class="badge">Включено бесплатно</span>
<p>Toki Pona ships <b>inside the base game</b>, alongside the other free packs. Install FlashBoss, choose it from the language list, and start. It has no prerequisite pack either — run it beside your main language, or on its own.</p>	<p>Toki Pona поставляется <b>внутри базовой игры</b>, вместе с другими бесплатными наборами. Установите FlashBoss, выберите его из списка языков и начинайте. У него также нет предварительного набора — используйте его вместе с основным языком или самостоятельно.</p>
<span class="tag">How it sticks</span>	<span class="tag">Как это запоминается</span>
<h2>Flashcards as an integrated system</h2>	<h2>Карточки как интегрированная система</h2>
<dt>Fibonacci SRS</dt>	<dt>SRS Фибоначчи</dt>
<dd>Rate each card 0–5. The better you know a word, the longer before it returns — spaced repetition on Fibonacci intervals.</dd>	<dd>Оценивайте каждую карточку от 0 до 5. Чем лучше вы знаете слово, тем дольше оно не возвращается — интервальное повторение на основе чисел Фибоначчи.</dd>
<dt>Boss fights</dt>	<dt>Босс-файты</dt>
<dd>Each of the 22 clusters is gated by a duel you can't win without confronting and overcoming your most difficult words.</dd>	<dd>Каждый из 22 блоков закрыт дуэлью, которую невозможно выиграть, не столкнувшись и не преодолев самые сложные для вас слова.</dd>
<dt>Graduation</dt>	<dt>Освоение</dt>
<dd>Beat a cluster and its cards leave your daily deck for good. The deck gets smaller as you learn.</dd>	<dd>Победите блок — и его карточки навсегда покинут вашу ежедневную колоду. Колода становится меньше по мере обучения.</dd>
<dt>Compounding</dt>	<dt>Словосложение</dt>
<dd>Half the pack is compounds. Every content word you learn multiplies, because the next 250 cards are built out of words you already have.</dd>	<dd>Половина набора — составные слова. Каждое знаменательное слово, которое вы учите, умножается, потому что следующие 250 карточек построены из уже знакомых вам слов.</dd>
<dt>Lessons</dt>	<dt>Уроки</dt>
<dd>Thirteen reference lessons, each triggered at the card where its particle first appears.</dd>	<dd>Тринадцать справочных уроков, каждый из которых запускается на карточке, где впервые появляется соответствующая частица.</dd>
<dt>Text-to-speech</dt>	<dt>Синтез речи</dt>
<dd>Cards can be heard. Toki Pona is spoken by the game's neural text-to-speech engine, piper1-gpl, using the pack's native Esperanto voice — chosen because that voice was trained on exactly the phonemes Toki Pona uses, so all fourteen of its sounds come out as themselves, with the penultimate stress the language expects. It is synthesised speech, not a recording of a speaker.</dd>	<dd>Карточки можно прослушивать. Токипона озвучивается нейросетевым движком синтеза речи игры, piper1-gpl, с использованием родного для набора голоса эсперанто — выбранного потому, что этот голос был обучен именно на тех фонемах, которые использует токипона, поэтому все четырнадцать звуков звучат как надо, с предпоследним ударением, ожидаемым в языке. Это синтезированная речь, а не запись диктора.</dd>
<span class="tag">Questions</span>	<span class="tag">Вопросы</span>
<h2>Before you start</h2>	<h2>Перед началом</h2>
<p class="q">Is Toki Pona really free?</p>	<p class="q">Токипона действительно бесплатен?</p>
<p class="a">Yes. It is one of the packs inside the base game — there is no Toki Pona DLC to buy, and no upgrade behind the later tiers. All 500 cards and all 13 lessons are there from the first launch.</p>	<p class="a">Да. Это один из наборов внутри базовой игры — не нужно покупать DLC для токипона, и нет апгрейда за последними уровнями. Все 500 карточек и все 13 уроков доступны с первого запуска.</p>
<p class="q">What exactly is in the pack?</p>	<p class="q">Что именно входит в набор?</p>
<p class="a">500 cards over 22 clusters and 5 tiers: 178 single-word entries — every content word and every grammar particle the course teaches — plus 250 compound phrases and 72 whole sentences. You can read the entire word list before you start, on the <a href="wordlists.html?lang=Toki%20Pona">word lists page</a>.</p>	<p class="a">500 карточек в 22 блоках и 5 уровнях: 178 однословных записей — каждое смысловое слово и каждую грамматическую частицу, которые преподаёт курс — плюс 250 составных фраз и 72 целых предложения. Вы можете прочитать весь список слов перед началом на <a href="wordlists.html?lang=Toki%20Pona">странице списков слов</a>.</p>
<p class="q">Does it cover the community vocabulary as well as the book?</p>	<p class="q">Охватывает ли он словарь сообщества наряду со словарём книги?</p>
<p class="a">It does. The spine is the book vocabulary, and tier 5 carries the later words that stuck — <i lang="tok">kijetesantakalu</i>, <i lang="tok">tonsi</i>, <i lang="tok">misikeke</i> — before closing on two clusters of bonus vocabulary from further out still: <i lang="tok">majuna</i> (old), <i lang="tok">linluwi</i> (a network), <i lang="tok">isipin</i> (to ponder), <i lang="tok">nimisin</i> (a new or joke word). The final lesson explains the difference between <i lang="tok">pu</i> and <i lang="tok">ku</i>, so you always know which room you are standing in.</p>	<p class="a">Да, охватывает. Основу составляет словарь книги, а уровень 5 содержит более поздние слова, которые прижились — <i lang="tok">kijetesantakalu</i>, <i lang="tok">tonsi</i>, <i lang="tok">misikeke</i> — прежде чем завершиться двумя блоками бонусного словаря из ещё более далёких мест: <i lang="tok">majuna</i> (старый), <i lang="tok">linluwi</i> (сеть), <i lang="tok">isipin</i> (размышлять), <i lang="tok">nimisin</i> (новое или шуточное слово). Последний урок объясняет разницу между <i lang="tok">pu</i> и <i lang="tok">ku</i>, так что вы всегда знаете, в какой комнате находитесь.</p>
<p class="q">Do I need to know English to use it?</p>	<p class="q">Нужно ли вам знать английский, чтобы им пользоваться?</p>
<p class="q">Where does the grammar come in?</p>	<p class="q">Где вступает в игру грамматика?</p>
<p class="a">At the door. There are 13 lessons and each one fires at the exact card where its particle first turns up — <i lang="tok">li</i> arrives with <i lang="tok">jan</i>, <i lang="tok">pi</i> with <i lang="tok">pi</i>, <i lang="tok">la</i> with <i lang="tok">ken la</i>. Eight of them land in tier 1. You can also read them all in advance on the <a href="lessons.html?lang=Toki%20Pona">lessons page</a>.</p>	<p class="a">С самого порога. Всего 13 уроков, и каждый из них срабатывает на той самой карточке, где впервые появляется его частица — <i lang="tok">li</i> появляется вместе с <i lang="tok">jan</i>, <i lang="tok">pi</i> вместе с <i lang="tok">pi</i>, <i lang="tok">la</i> вместе с <i lang="tok">ken la</i>. Восемь из них попадают на уровень 1. Вы также можете прочитать их все заранее на <a href="lessons.html?lang=Toki%20Pona">странице уроков</a>.</p>
<p class="q">Can I hear it?</p>	<p class="q">Можно ли его услышать?</p>
<p class="a">Yes — through text-to-speech, not a recorded voice. Toki Pona has fourteen sounds and the pack speaks them through FlashBoss's native Esperanto voice, whose phoneme set covers all fourteen exactly, with the penultimate stress the language expects.</p>	<p class="a">Да — через синтез речи, а не записанный голос. В Toki Pona четырнадцать звуков, и набор воспроизводит их с помощью родного эсперанто-голоса FlashBoss, чей набор фонем точно охватывает все четырнадцать, с предпоследним ударением, как того требует Toki Pona.</p>
<p class="q">Do I have to finish another pack first?</p>	<p class="q">Нужно ли сначала пройти другой набор?</p>
<p class="a">No. Toki Pona has no prerequisite. It is a standalone course, and small enough to sit alongside whatever you are already learning without taking the room.</p>	<p class="a">Нет. У Toki Pona нет предварительных требований. Это самостоятельный курс, и он достаточно мал, чтобы идти рядом с тем, что вы уже изучаете, не занимая много места.</p>
<h2>Take the whole language</h2>	<h2>Освойте весь язык</h2>
<p>Toki Pona is included in the base game. Nothing to buy, nothing to unlock.</p>	<p>Toki Pona включён в базовую игру. Ничего покупать, ничего открывать.</p>
<a class="btn hot" href="https://store.steampowered.com/app/4134440/FlashBoss/?utm_source=website-toki-pona">Get FlashBoss on Steam &rarr;</a>	<a class="btn hot" href="https://store.steampowered.com/app/4134440/FlashBoss/?utm_source=website-toki-pona">Купить FlashBoss в Steam &rarr;</a>
<p class="epi" lang="tok">&ldquo;jan sona li sona e ni: ona li sona ala e ale.&rdquo;<span class="tr" lang="en">A wise person knows this: they don't know everything.</span></p>	<p class="epi" lang="tok">&ldquo;jan sona li sona e ni: ona li sona ala e ale.&rdquo;<span class="tr" lang="en">Мудрый человек знает это: он не знает всего.</span></p>
<span class="footer-links">\n    <a href="home.html">home</a>\n    <span class="div">·</span>\n    <a href="manual/">walkthrough (beta)</a>\n    <span class="div">·</span>\n    <a href="https://store.steampowered.com/app/4134440/FlashBoss/?utm_source=website-toki-pona">steam</a>\n  </span>	<span class="footer-links">\n    <a href="home.html">главная</a>\n    <span class="div">·</span>\n    <a href="manual/">руководство (бета)</a>\n    <span class="div">·</span>\n    <a href="https://store.steampowered.com/app/4134440/FlashBoss/?utm_source=website-toki-pona">Steam</a>\n  </span>
alt="A FlashBoss Toki Pona flashcard on the terminal screen: the target word, an example sentence with its translation, and the notes beneath."	alt="Карточка FlashBoss Toki Pona на экране терминала: целевое слово, пример предложения с переводом и заметки внизу."
<span class="tag">Five languages in</span>	<span class="tag">Пять языков внутрь</span>
<p class="sub">Every card carries its translation, its example translation and its notes in all five languages — and so does every one of the 13 lesson pages, and the interface around them. Set your language once, and the whole pack follows.</p>	<p class="sub">Каждая карточка несёт свой перевод, перевод примера и заметки на всех пяти языках — как и каждая из 13 страниц уроков и интерфейс вокруг них. Задайте язык один раз, и весь набор пойдёт следом.</p>
content="FlashBoss Toki Pona: a complete language of around 140 words — free inside the base game. 500 cards across 22 clusters and 5 tiers, 13 grammar lessons, cards and lessons in English, German, Japanese, Spanish and Simplified Chinese. Spaced repetition, boss fights, and text-to-speech."	content="FlashBoss Toki Pona: целый язык примерно из 140 слов — бесплатно в базовой игре. 500 карточек в 22 блоках и 5 уровнях, 13 уроков грамматики, карточки и уроки на английском, немецком, японском, испанском и упрощённом китайском. Интервальное повторение, босс-файты и синтез речи."
