# french.html — en<TAB>ru
<title>French — FlashBoss</title>	<title>Французский — FlashBoss</title>
<p class="body">Every word was drawn from subtitle-corpus frequency data — the French that actually reaches your ear in film, television and conversation, weighted toward what matters most for comprehension. Grammar arrives tier by tier, and the example sentences stay inside what you've already been taught, so nothing on a card runs ahead of you. Finish Core and you'll have read <b>more than 7,000 words of French in context</b>.</p>	<p class="body">Каждое слово взято из частотных данных корпуса субтитров — того французского, который действительно доходит до вашего уха в кино, на телевидении и в разговоре, с перевесом в сторону самого важного для понимания. Грамматика приходит уровень за уровнем, а примеры не выходят за пределы уже пройденного, так что ничто на карточке не забегает вперёд. Закончив Core, вы прочтёте <b>больше 7000 слов французского в контексте</b>.</p>
<div class="t">Tier 1</div><p>First contact, family, the body, core verbs, food, counting, the clock.</p>	<div class="t">Уровень 1</div><p>Первый контакт, семья, тело, основные глаголы, еда, счёт, часы.</p>
<div class="t">Tier 2</div><p>Waking up, around town, the market, the calendar, close bonds, everyday life.</p>	<div class="t">Уровень 2</div><p>Пробуждение, по городу, рынок, календарь, близкие связи, повседневность.</p>
<div class="t">Tier 3</div><p>Getting ready, the house, weather, shops and money, moods, and the past tense.</p>	<div class="t">Уровень 3</div><p>Сборы, дом, погода, магазины и деньги, настроения и прошедшее время.</p>
<div class="t">Tier 4</div><p>Work, journeys, school, the wild world, mind and opinion, character.</p>	<div class="t">Уровень 4</div><p>Работа, поездки, школа, дикий мир, ум и мнение, характер.</p>
<div class="t">Tier 5</div><p>Admin and law, media and arts, digital life, celebrations, big ideas, fine shades.</p>	<div class="t">Уровень 5</div><p>Управление и право, СМИ и искусство, цифровая жизнь, праздники, большие идеи, тонкие оттенки.</p>
<span class="tag">The whole map</span>	<span class="tag">вся карта</span>
<h2>Five tiers, forty clusters</h2>	<h2>Пять уровней, сорок блоков</h2>
<p class="sub">Every cluster is 25 cards and ends in a boss fight. Nothing is hidden — the full list is on the <a href="wordlists.html?lang=French&amp;set=Core">word lists page</a>, free to read before you buy.</p>	<p class="sub">В каждом блоке 25 карточек, и заканчивается он босс-файтом. Ничего не скрыто — полный список лежит на <a href="wordlists.html?lang=French&amp;set=Core">странице списков слов</a>, его можно бесплатно прочесть до покупки.</p>
<div class="tno">Tier 1</div>	<div class="tno">Уровень 1</div>
<div class="tno">Tier 2</div>	<div class="tno">Уровень 2</div>
<div class="tno">Tier 3</div>	<div class="tno">Уровень 3</div>
<div class="tno">Tier 4</div>	<div class="tno">Уровень 4</div>
<div class="tno">Tier 5</div>	<div class="tno">Уровень 5</div>
<div class="tcl">First Contact · People &amp; Family · The Body · Core Verbs · Food &amp; Meals · Count &amp; Colour · Time &amp; Calendar · First Landing</div>	<div class="tcl">Первый контакт · Люди и семья · Тело · Основные глаголы · Еда и трапезы · Счёт и цвет · Время и календарь · Первая посадка</div>
<div class="tcl">Waking Up · Around Town · Market &amp; Meals · Months &amp; Dates · Close Bonds · Everyday Life · Doing Things · Safe Landing</div>	<div class="tcl">Пробуждение · По городу · Рынок и трапезы · Месяцы и даты · Близкие связи · Повседневность · Дела · Мягкая посадка</div>
<div class="tcl">Getting Ready · At Home · Wind &amp; Rain · Shops &amp; Money · People &amp; Moods · On the Move · Past Actions · Steady Now</div>	<div class="tcl">Сборы · Дома · Ветер и дождь · Магазины и деньги · Люди и настроения · В пути · Прошедшие действия · Ровный шаг</div>
<div class="tcl">The World of Work · Journeys · At School · The Wild World · Creatures &amp; Fun · Mind &amp; Opinion · Many Traits · Taking Flight</div>	<div class="tcl">Мир работы · Поездки · В школе · Дикий мир · Твари и забавы · Ум и мнение · Множество черт · Взлёт</div>
<div class="tcl">Admin &amp; Law · Media &amp; Arts · Digital Life · Celebrations · Big Ideas · Fine Shades · Verbs of Mind · The Summit</div>	<div class="tcl">Управление и право · СМИ и искусство · Цифровая жизнь · Праздники · Большие идеи · Тонкие оттенки · Глаголы мысли · Вершина</div>
<div class="tct">8 clusters · 200 cards</div>	<div class="tct">8 блоков · 200 карточек</div>
<p class="tierfoot"><span>Core: 5 tiers · 40 clusters · <b>1,000 cards</b></span><span>20 reference lessons</span><span>A1–A2 foundation</span></p>	<p class="tierfoot"><span>Core: 5 уровней · 40 блоков · <b>1000 карточек</b></span><span>20 справочных уроков</span><span>основа A1–A2</span></p>
<p class="sub" style="margin:16px 0 0;">Pareto 1 and Pareto 2 carry the same map through tiers 6–15 — another 80 clusters, 2,000 words and 17 more reference lessons. Both are out now.</p>	<p class="sub" style="margin:16px 0 0;">Pareto 1 и Pareto 2 продолжают ту же карту через уровни 6–15 — ещё 80 блоков, 2000 слов и 17 дополнительных справочных уроков. Оба уже вышли.</p>
<span class="tag">Watch it grow up</span>	<span class="tag">смотрите, как оно взрослеет</span>
<h2>Progressively more challenging</h2>	<h2>Всё сложнее, шаг за шагом</h2>
<p class="sub">The example sentences increase in complexity tier by tier — and never use grammar you haven't met.</p>	<p class="sub">Примеры усложняются от уровня к уровню — и никогда не используют грамматику, которой вы ещё не встречали.</p>
<span class="en">I have two brothers and a sister.</span>	<span class="en">У меня два брата и сестра.</span>
<span class="en">On weekends I run, but in the mornings I walk.</span>	<span class="en">По выходным я бегаю, а по утрам хожу пешком.</span>
<span class="en">She puts her son to bed every evening at eight o'clock.</span>	<span class="en">Она укладывает сына спать каждый вечер в восемь.</span>
<span class="en">It was raining a lot, so we stayed at home.</span>	<span class="en">Шёл сильный дождь, поэтому мы остались дома.</span>
<span class="en">Could you explain to me why you're late again today? (formal)</span>	<span class="en">Не могли бы вы объяснить, почему вы сегодня снова опоздали? (вежливая форма)</span>
<span class="tag">Read it by sight</span>	<span class="tag">видно с первого взгляда</span>
<h2>le · la, in colour</h2>	<h2>le · la, в цвете</h2>
<p class="sub">Every noun carries its article colour-coded to gender, so you learn the gender with the word instead of after it. Tap a card to flip it.</p>	<p class="sub">У каждого существительного артикль окрашен по роду, так что род запоминается вместе со словом, а не после него. Нажмите на карточку, чтобы перевернуть её.</p>
<span><i class="lm"></i> le — masculine</span>	<span><i class="lm"></i> le — мужской род</span>
<span><i class="lf"></i> la — feminine</span>	<span><i class="lf"></i> la — женский род</span>
<div class="trans">work — &ldquo;What time does he go to work?&rdquo; Masculine. Irregular plural: <i>travaux</i>. Informally, <i>le boulot</i>.</div>	<div class="trans">работа — «Во сколько он идёт на работу?» Во французском — мужской род. Неправильное множественное: <i>travaux</i>. Разговорно — <i>le boulot</i>.</div>
<div class="trans">house — &ldquo;Our house is white and new.&rdquo; Feminine. <i>À la maison</i> = at home, one of the commonest phrases in the language.</div>	<div class="trans">дом — «Наш дом белый и новый.» Во французском — женский род. <i>À la maison</i> = дома, одно из самых частых выражений языка.</div>
<div class="trans">water — &ldquo;I drink water.&rdquo; Feminine, against the <i>-eau</i> pattern that makes <i>le couteau</i> masculine. On the card it elides to <i>l'eau</i> — and stays magenta.</div>	<div class="trans">вода — «Я пью воду.» Во французском — женский род, вопреки модели <i>-eau</i>, из-за которой <i>le couteau</i> мужского рода. На карточке слово сокращается до <i>l'eau</i> — и остаётся пурпурным.</div>
<div class="hint">tap to flip</div>	<div class="hint">нажмите, чтобы перевернуть</div>
<div class="gloss">friend — still <b>blue</b>, still masculine.</div>	<div class="gloss">друг — по-прежнему <b>синий</b>, во французском по-прежнему мужского рода.</div>
<div class="gloss">water — still <b>magenta</b>, still feminine.</div>	<div class="gloss">вода — по-прежнему <b>пурпурная</b>, во французском по-прежнему женского рода.</div>
<p class="elide-note">Élision is where most learners lose the gender: before a vowel sound <i>le</i> and <i>la</i> both collapse into <i>l'</i>, and the clue disappears. FlashBoss keeps the colour underneath the apostrophe, so <i>l'ami</i> reads masculine and <i>l'eau</i> reads feminine at a glance. The h-aspiré words that <i>refuse</i> to elide — <i>le héros</i>, <i>la honte</i> — get their own lesson.</p>	<p class="elide-note">Именно на элизии большинство учащихся теряет род: перед гласным звуком <i>le</i> и <i>la</i> одинаково схлопываются в <i>l'</i>, и подсказка исчезает. FlashBoss оставляет цвет под апострофом, поэтому <i>l'ami</i> читается как мужской род, а <i>l'eau</i> — как женский, с одного взгляда. Словам с придыхательным h, которые <i>отказываются</i> сокращаться — <i>le héros</i>, <i>la honte</i>, — посвящён отдельный урок.</p>
<span class="tag">Not just a word list</span>	<span class="tag">не просто список слов</span>
<h2>Twenty lessons, fired in sequence</h2>	<h2>Двадцать уроков, срабатывающих по порядку</h2>
<p class="sub">A reference lesson unlocks at the exact card where you first need it, and stays available afterwards. Core's twenty — and the seventeen that come with Pareto 1 and Pareto 2 — are all free to read on the <a href="lessons.html?lang=French">lessons page</a>.</p>	<p class="sub">Справочный урок открывается ровно на той карточке, где он впервые нужен, и остаётся доступным дальше. Двадцать уроков Core — и семнадцать из Pareto 1 и Pareto 2 — можно бесплатно прочесть на <a href="lessons.html?lang=French">странице уроков</a>.</p>
<li><span class="no">01</span>French pronunciation<span class="d">Vowels, the nasals, the silent finals, and the CaReFuL consonants that survive at the end of a word.</span></li>	<li><span class="no">01</span>Французское произношение<span class="d">Гласные, носовые, немые окончания и согласные CaReFuL, которые выживают в конце слова.</span></li>
<li><span class="no">03</span>Tu vs vous<span class="d">Who gets which, why <i>vous</i> is always the safe opening, and what <i>on peut se tutoyer</i> means when someone offers it.</span></li>	<li><span class="no">03</span>Tu и vous<span class="d">Кому какое, почему <i>vous</i> — всегда безопасное начало и что значит <i>on peut se tutoyer</i>, когда вам это предлагают.</span></li>
<li><span class="no">06</span>Il y a &amp; telling time<span class="d">The two structures you need before you can arrange anything with anyone.</span></li>	<li><span class="no">06</span>Il y a и время на часах<span class="d">Две конструкции, без которых ни с кем ни о чём не договориться.</span></li>
<li><span class="no">08</span>Liaison &amp; élision<span class="d">Why <i>l'hôtel</i> loses the vowel and <i>aux hôtels</i> gains a [z].</span></li>	<li><span class="no">08</span>Связывание и элизия<span class="d">Почему <i>l'hôtel</i> теряет гласный, а <i>aux hôtels</i> приобретает [z].</span></li>
<li><span class="no">12</span>H-aspiré words<span class="d">The short, closed list where the silent h still blocks élision: <i>la honte</i>, never <i>l'honte</i>.</span></li>	<li><span class="no">12</span>Слова с h aspiré<span class="d">Короткий закрытый список, где немое h всё же блокирует элизию: <i>la honte</i>, но никогда <i>l'honte</i>.</span></li>
<li><span class="no">13</span>Avoir or être?<span class="d">Which auxiliary the passé composé takes, and the verbs that insist on <i>être</i>.</span></li>	<li><span class="no">13</span>Avoir или être?<span class="d">Какой вспомогательный глагол берёт passé composé и какие глаголы настаивают на <i>être</i>.</span></li>
<li><span class="no">14</span>Est — a homograph<span class="d">One spelling, two words, two pronunciations: <i>il est</i> [ɛ] against <i>l'est</i> [ɛst].</span></li>	<li><span class="no">14</span>Est — омограф<span class="d">Одно написание, два слова, два произношения: <i>il est</i> [ɛ] против <i>l'est</i> [ɛst].</span></li>
<li><span class="no">17</span>Subjonctif intro<span class="d">The mood English lost, met at the point where the cards start needing it.</span></li>	<li><span class="no">17</span>Введение в subjonctif<span class="d">Наклонение, которое английский потерял, — встречается там, где карточки впервые его требуют.</span></li>
<p class="sub" style="margin:22px 0 0;">Also inside: reading a card, the present tense, negation, the imperative, futur proche, passé composé, reflexive verbs, imparfait, conditionnel présent, futur simple, <i>héros</i> vs <i>héroïne</i>, and a closing lesson on where to go next.</p>	<p class="sub" style="margin:22px 0 0;">Внутри также: как читать карточку, настоящее время, отрицание, повелительное наклонение, futur proche, passé composé, возвратные глаголы, imparfait, conditionnel présent, futur simple, <i>héros</i> против <i>héroïne</i> — и заключительный урок о том, куда двигаться дальше.</p>
<h2>The words that look like yours</h2>	<h2>Слова, похожие на ваши</h2>
<p class="sub">French shares thousands of words with English — and a handful of them are lying to you. The cards say so. Tap to flip.</p>	<p class="sub">У французского с английским тысячи общих слов — и горстка из них вам врёт. Карточки об этом предупреждают. Нажмите, чтобы перевернуть.</p>
<div class="art">false friend</div>	<div class="art">ложный друг</div>
<div class="art">register · false friend</div>	<div class="art">регистр · ложный друг</div>
<div class="trans">to stay, to remain — <b>not</b> &ldquo;to rest.&rdquo; &ldquo;Stay here with me!&rdquo; To rest is <i>se reposer</i>.</div>	<div class="trans">оставаться, задерживаться — <b>не</b> «отдыхать». «Останься здесь со мной!» Отдыхать — <i>se reposer</i>.</div>
<div class="trans">change, coins; a currency — <b>not</b> money in general, which is <i>l'argent</i>. &ldquo;Do you have any change, sir?&rdquo;</div>	<div class="trans">сдача, мелочь; валюта — <b>не</b> деньги вообще, это <i>l'argent</i>. «У вас есть мелочь, месье?»</div>
<div class="trans">corner — <b>not</b> a coin, which is <i>une pièce</i>. &ldquo;The café is just on the corner of the street, on the right.&rdquo;</div>	<div class="trans">угол — <b>не</b> монета, монета — <i>une pièce</i>. «Кафе прямо на углу улицы, справа.»</div>
<div class="trans">nice, friendly — <b>not</b> &ldquo;sympathetic.&rdquo; &ldquo;Your new colleague seems really nice.&rdquo; Informal, and the card marks it <i>tu</i>-register so you know where it belongs.</div>	<div class="trans">милый, приятный — <b>не</b> «сочувствующий». «Твой новый коллега кажется очень милым.» Разговорное; карточка помечает его регистром <i>tu</i>, чтобы вы знали, где ему место.</div>
<h2>The Pareto Principle</h2>	<h2>Принцип Парето</h2>
<p class="sub">3 packs. 10% of the French vocabulary for 90% of French use cases. All three are out now.</p>	<p class="sub">3 набора. 10% французской лексики на 90% случаев употребления. Все три уже вышли.</p>
<div class="lvl">A1–A2 · 1,000 words</div>	<div class="lvl">A1–A2 · 1000 слов</div>
<div class="lvl">B1–B2 · 1,000 words</div>	<div class="lvl">B1–B2 · 1000 слов</div>
<div class="lvl">B2–C1 · 1,000 words</div>	<div class="lvl">B2–C1 · 1000 слов</div>
<p>First contact to belonging, in five tiers, with twenty reference lessons. The road in.</p>	<p>От первого контакта до чувства своего — пять уровней и двадцать справочных уроков. Дорога внутрь.</p>
<p>The next thousand — everyday French at speed, and the casual spoken register. Requires Core.</p>	<p>Следующая тысяча — повседневный французский на скорости и разговорный регистр. Требуется Core.</p>
<p>The educated standard: formal register, structured argument, the press. Requires Pareto 1.</p>	<p>Образованный стандарт: официальный регистр, выстроенная аргументация, пресса. Требуется Pareto 1.</p>
<span class="soon">out now</span>	<span class="soon">уже вышел</span>
>French Core</a> · 	>French Core</a> · 
On Steam: 	В Steam: 
 — each requires the one before it.</p>	 — каждый требует предыдущего.</p>
<span class="tag">How it sticks</span>	<span class="tag">как это запоминается</span>
<h2>Flashcards as an integrated system</h2>	<h2>Карточки как единая система</h2>
<dt>Fibonacci SRS</dt><dd>Rate each card 0–5. The better you know a word, the longer before it returns — spaced repetition on Fibonacci intervals.</dd>	<dt>Интервалы по Фибоначчи</dt><dd>Оценивайте каждую карточку от 0 до 5. Чем лучше вы знаете слово, тем позже оно вернётся — интервальное повторение по числам Фибоначчи.</dd>
<dt>Boss fights</dt><dd>Each of the 120 clusters is gated by a duel you can't win without confronting and overcoming your most difficult words.</dd>	<dt>Босс-файты</dt><dd>Каждый из 120 блоков закрыт дуэлью, которую не выиграть, не встретившись лицом к лицу со своими самыми трудными словами и не одолев их.</dd>
<dt>Graduation</dt><dd>Beat a cluster and its cards leave your daily deck for good. The deck gets smaller as you learn.</dd>	<dt>Выпуск</dt><dd>Пройдите блок — и его карточки навсегда покидают вашу ежедневную колоду. Чем больше вы знаете, тем меньше колода.</dd>
<dt>Audio</dt><dd>Clean French Piper text-to-speech on every target word and every example sentence — the <i>siwis</i> fr_FR voice, Metropolitan French. It is synthesis, not a recording of a speaker.</dd>	<dt>Озвучка</dt><dd>Чистый французский синтез речи Piper для каждого изучаемого слова и каждого примера — голос <i>siwis</i> fr_FR, континентальный французский. Это синтез, а не запись диктора.</dd>
<dt>Your language</dt><dd>All 3,000 cards carry their translation <i>and</i> their notes in German, Spanish, Japanese and Simplified Chinese as well as English, and every reference lesson has siblings in the same four. The interface speaks all five. French is fully playable without a word of English.</dd>	<dt>Ваш язык</dt><dd>Все 3000 карточек несут перевод <i>и</i> пояснения на немецком, испанском, японском и упрощённом китайском, а также на английском, и у каждого справочного урока есть версии на тех же четырёх. Интерфейс говорит на всех пяти. Французский полностью проходится без единого английского слова.</dd>
<dt>Gender by sight</dt><dd>Blue for <i>le</i>, magenta for <i>la</i>, on every noun — and the colour survives the elision to <i>l'</i>.</dd>	<dt>Род с первого взгляда</dt><dd>Синий для <i>le</i>, пурпурный для <i>la</i>, на каждом существительном — и цвет переживает сокращение до <i>l'</i>.</dd>
<dt>Frequency</dt><dd>The word list is built from subtitle-corpus frequency data — the French you'll actually hear, first.</dd>	<dt>Частотность</dt><dd>Список слов построен на частотных данных корпуса субтитров — сначала тот французский, который вы действительно услышите.</dd>
<dt>Lessons</dt><dd>Thirty-seven reference lessons across the three packs fire at the point in the sequence where they unlock what you're about to read.</dd>	<dt>Уроки</dt><dd>Тридцать семь справочных уроков из трёх наборов срабатывают ровно там, где открывают то, что вы вот-вот прочтёте.</dd>
<h2>Questions</h2>	<h2>Вопросы</h2>
<p class="sub">The things people ask before they buy.</p>	<p class="sub">То, о чём спрашивают перед покупкой.</p>
<summary>Which French is this?</summary>	<summary>Какой это французский?</summary>
<p class="a">Metropolitan French — the French of France — from the first card to the last, in the vocabulary, the example sentences and the voice.</p>	<p class="a">Континентальный французский — французский Франции — от первой карточки до последней: в лексике, в примерах и в озвучке.</p>
<summary>Do I need anything else to play it?</summary>	<summary>Нужно ли что-то ещё, чтобы играть?</summary>
<p class="a">Yes. French Core is a DLC for the FlashBoss base game, so you need the base game as well. Pareto 1 requires Core, and Pareto 2 requires Pareto 1 — the packs build on each other in order. Everything else — the lessons, the audio, the boss fights — is inside the pack. On Windows 10 you also need <a href="https://apps.microsoft.com/detail/9n0dx20hk701" target="_blank" rel="noopener">Windows Terminal</a> — a free, secure download from the Microsoft Store.</p>	<p class="a">Да. French Core — это DLC к базовой игре FlashBoss, поэтому нужна и она. Pareto 1 требует Core, а Pareto 2 — Pareto 1: наборы надстраиваются друг над другом по порядку. Всё остальное — уроки, озвучка, босс-файты — уже внутри набора. На Windows 10 также нужен <a href="https://apps.microsoft.com/detail/9n0dx20hk701" target="_blank" rel="noopener">Windows Terminal</a> — бесплатная и безопасная загрузка из Microsoft Store.</p>
<summary>What level does Core take me to?</summary>	<summary>До какого уровня доводит Core?</summary>
<p class="a">An A1–A2 foundation: 1,000 high-frequency words and twenty grammar lessons covering the présent, passé composé, imparfait, conditionnel and futur, plus an introduction to the subjonctif. By the end you can read simple French and follow an A2 classroom, with more than 7,000 words of French read in context along the way.</p>	<p class="a">До основы A1–A2: 1000 высокочастотных слов и двадцать уроков грамматики, охватывающих présent, passé composé, imparfait, conditionnel и futur, плюс введение в subjonctif. К концу вы читаете простой французский и понимаете, что происходит на занятии уровня A2, прочитав по дороге больше 7000 слов французского в контексте.</p>
<summary>What about Pareto 1 and Pareto 2?</summary>	<summary>А как насчёт Pareto 1 и Pareto 2?</summary>
<p class="a">Both are out now — 1,000 words each. Pareto 1 builds on Core with the next thousand high-frequency words and the casual spoken register; Pareto 2 reaches for the educated standard: formal register, structured argument, the press. Pareto 1 requires Core, and Pareto 2 requires Pareto 1.</p>	<p class="a">Оба уже вышли — по 1000 слов. Pareto 1 строится на Core и добавляет следующую тысячу высокочастотных слов и разговорный регистр; Pareto 2 берёт образованный стандарт: официальный регистр, выстроенная аргументация, пресса. Pareto 1 требует Core, а Pareto 2 — Pareto 1.</p>
<summary>Can I see the words before I buy?</summary>	<summary>Можно ли посмотреть слова до покупки?</summary>
<p class="a">All of them. The complete word lists for Core, Pareto 1 and Pareto 2 are on the <a href="wordlists.html?lang=French&amp;set=Core">word lists page</a>, and all thirty-seven reference lessons are on the <a href="lessons.html?lang=French">lessons page</a> — free, printable, no account.</p>	<p class="a">Все до одного. Полные списки слов для Core, Pareto 1 и Pareto 2 лежат на <a href="wordlists.html?lang=French&amp;set=Core">странице списков слов</a>, а все тридцать семь справочных уроков — на <a href="lessons.html?lang=French">странице уроков</a>: бесплатно, для печати, без регистрации.</p>
<summary>Is there a demo?</summary>	<summary>Есть ли демоверсия?</summary>
<p class="a">There's a playable boss fight in the browser, if you want to know what the fight feels like before you commit: <a href="https://flashboss-demo.pages.dev/">try the demo</a>.</p>	<p class="a">В браузере доступен играбельный босс-файт — если хотите почувствовать бой до того, как решитесь: <a href="https://flashboss-demo.pages.dev/">попробовать демо</a>.</p>
>Get FlashBoss on Steam &rarr;</a>	>Купить FlashBoss в Steam &rarr;</a>
<p class="also">or read the <a href="wordlists.html?lang=French&amp;set=Core">word list</a> and the <a href="lessons.html?lang=French">lessons</a> first — they're free.</p>	<p class="also">или сначала почитайте <a href="wordlists.html?lang=French&amp;set=Core">список слов</a> и <a href="lessons.html?lang=French">уроки</a> — они бесплатны.</p>
<span class="tr">Everyone is happy to see you.</span>	<span class="tr">Все рады тебя видеть.</span>
<span class="epi-cite">French Core · Tier 2</span>	<span class="epi-cite">French Core · Уровень 2</span>
<summary>Can I play it in German, Spanish, Japanese or Chinese?</summary>	<summary>Можно ли играть на немецком, испанском, японском или китайском?</summary>
<p class="a">Fully. Every card and every lesson exists in all four — no English needed. All 3,000 cards carry German, Spanish, Japanese and Simplified Chinese translations <i>and</i> notes, every reference lesson has siblings in the same four, and the game's own interface is available in English, German, Spanish, Japanese and Simplified Chinese.</p>	<p class="a">Полностью. Каждая карточка и каждый урок существуют на всех четырёх — английский не нужен. Все 3000 карточек несут переводы <i>и</i> пояснения на немецком, испанском, японском и упрощённом китайском, у каждого справочного урока есть версии на тех же четырёх, а интерфейс самой игры доступен на английском, немецком, испанском, японском и упрощённом китайском.</p>
<p class="tagline reveal">The French you'll actually meet, in the order you'll meet it.</p>	<p class="tagline reveal">Французский, который вам действительно встретится, — в том порядке, в каком встретится.</p>
<h2>From hello to the headlines</h2>	<h2>От приветствия до новостей</h2>
<p class="lede reveal">You start with greetings and the people in front of you. A thousand words later you are reading about work, money, the law and the news. <b>Metropolitan French</b>, chosen by how often you'll actually meet it.</p>	<p class="lede reveal">Вы начинаете с приветствий и людей, стоящих перед вами. Тысячу слов спустя вы уже читаете о работе, деньгах, законе и новостях. <b>Континентальный французский</b>, отобранный по тому, как часто он вам действительно встретится.</p>
<h2>Start with bonjour.</h2>	<h2>Начните с bonjour.</h2>
<p>A thousand words, forty boss fights, and twenty lessons between you and a French newspaper.</p>	<p>Тысяча слов, сорок босс-файтов и двадцать уроков между вами и французской газетой.</p>
alt="FlashBoss — the moonlit school that fronts every FlashBoss course"	alt="FlashBoss — залитая лунным светом школа, с которой начинается каждый курс"
