# english.html — en<TAB>ru
<title>English — FlashBoss</title>	<title>Английский — FlashBoss</title>
<dt>Audio</dt><dd>Clean English Piper text-to-speech on every word and example sentence. It is synthesis, not a recording of a speaker — and we say so.</dd>	<dt>Озвучка</dt><dd>Чистый английский синтез речи Piper для каждого слова и каждого примера. Это синтез, а не запись диктора, — и мы об этом говорим.</dd>
<dt>Two spellings</dt><dd>American English base with a full British spelling option — colour or color, at the flick of a setting.</dd>	<dt>Две орфографии</dt><dd>За основу взят американский английский, британское написание включается целиком одной настройкой — colour или color.</dd>
<dt>Lessons</dt><dd>38 reference lessons — word order, articles, tenses — each firing at the card where you first need it, readable in the learner's language.</dd>	<dt>Уроки</dt><dd>38 справочных уроков — порядок слов, артикли, времена — каждый срабатывает на той карточке, где он впервые нужен, и читается на языке учащегося.</dd>
<dt>Frequency</dt><dd>Words arrive by how often English actually uses them: the thousand that carry the most language come first.</dd>	<dt>Частотность</dt><dd>Слова приходят в порядке того, насколько часто английский их реально использует: первой идёт та тысяча, которая несёт больше всего языка.</dd>
<h2>Questions</h2>	<h2>Вопросы</h2>
<p class="sub">The things people ask before they buy.</p>	<p class="sub">То, о чём спрашивают перед покупкой.</p>
<summary>I'm a native English speaker — should I buy this?</summary>	<summary>Английский — мой родной язык. Стоит ли покупать?</summary>
<p class="a">No. It teaches the first thousands of English words — words you already know. Your English packs are <b>Adept</b> and <b>Advance</b>, free inside the base game, and the <a href="latin-roots.html">Roots Series</a> teaches you where your language came from.</p>	<p class="a">Нет. Курс учит первым тысячам английских слов — тем, которые вы и так знаете. Ваши английские наборы — <b>Adept</b> и <b>Advance</b>, они бесплатны в базовой игре, а <a href="latin-roots.html">серия Roots</a> рассказывает, откуда ваш язык вообще взялся.</p>
<summary>Which languages can I learn English from?</summary>	<summary>С каких языков можно учить английский?</summary>
<p class="a">German, Spanish, Japanese, and Simplified Chinese. Every card carries its translation, translated example sentence, and study notes in all four, and the game interface speaks each of them. No English is needed to play.</p>	<p class="a">С немецкого, испанского, японского и упрощённого китайского. <b>Русского учебного интерфейса нет.</b> На каждой карточке есть перевод, переведённый пример и пояснения на всех четырёх языках, и интерфейс игры говорит на каждом из них. Английский для игры не требуется.</p>
<summary>Do I need anything else to play it?</summary>	<summary>Нужно ли что-то ещё, чтобы играть?</summary>
<p class="a">Yes. English Core is a DLC for the FlashBoss base game, so you need the base game as well. Pareto 1 requires Core, and Pareto 2 requires Pareto 1 — the packs build on each other in order. On Windows 10 you also need <a href="https://apps.microsoft.com/detail/9n0dx20hk701" target="_blank" rel="noopener">Windows Terminal</a> — a free, secure download from the Microsoft Store.</p>	<p class="a">Да. English Core — это DLC к базовой игре FlashBoss, поэтому нужна и она. Pareto 1 требует Core, а Pareto 2 — Pareto 1: наборы надстраиваются друг над другом по порядку. На Windows 10 также нужен <a href="https://apps.microsoft.com/detail/9n0dx20hk701" target="_blank" rel="noopener">Windows Terminal</a> — бесплатная и безопасная загрузка из Microsoft Store.</p>
<summary>Can I see the word lists before I buy?</summary>	<summary>Можно ли посмотреть списки слов до покупки?</summary>
<p class="a">The English program's word lists aren't on the website yet — they're being prepared. Until they land, there's a playable boss-fight demo in the browser: <a href="https://flashboss-demo.pages.dev/">try the demo</a>.</p>	<p class="a">Списков слов английской программы на сайте пока нет — они готовятся. А пока в браузере доступна играбельная демоверсия босс-файта: <a href="https://flashboss-demo.pages.dev/">попробовать демо</a>.</p>
<h2>Pass it on.</h2>	<h2>Передайте дальше.</h2>
<p>A thousand words to stand on, three thousand in sequence — met entirely in the learner's own language.</p>	<p>Тысяча слов, на которые можно опереться, и три тысячи по порядку — и всё это на родном языке учащегося.</p>
<p class="also">or hand the learner their page: 	<p class="also">или передайте учащемуся его страницу: 
<p class="epi">&ldquo;A whole world of books lies beyond the last page you have just read.&rdquo;<span class="epi-cite">English Core · Tier 5 · the last card</span></p>	<p class="epi">&ldquo;A whole world of books lies beyond the last page you have just read.&rdquo;<span class="epi-cite">Целый мир книг лежит за последней страницей, которую вы только что прочли. · English Core · Уровень 5 · последняя карточка</span></p>
<div class="actions reveal">\n        <a class="btn" href="https://flashboss-demo.pages.dev/">Try the demo</a>\n        <a class="btn" href="packs.html">All packs</a>\n        <a class="btn" href="https://store.steampowered.com/app/4134440/FlashBoss/?utm_source=website-english">Steam</a>\n      </div>	<div class="actions reveal">\n        <a class="btn" href="https://flashboss-demo.pages.dev/">Попробовать демо</a>\n        <a class="btn" href="packs.html">Все наборы</a>\n        <a class="btn" href="latin-roots.html">Серия Roots</a>\n      </div>
<a class="pack" href="https://store.steampowered.com/app/4134440/FlashBoss/?utm_source=website-english">\n          <div class="n">English Core</div>\n          <div class="lvl">A1–A2 · 1,000 words · 38 lessons</div>\n          <p>The highest-frequency thousand, in five tiers — the foundation everything else stands on. Requires the base game.</p>\n          <span class="now">out now</span>\n        </a>	<div class="pack locked">\n          <div class="n">English Core</div>\n          <div class="lvl">A1–A2 · 1000 слов · 38 уроков</div>\n          <p>Тысяча самых частотных слов на пяти уровнях — фундамент, на котором держится всё остальное. Требуется базовая игра.</p>\n          <span class="soon">без русского интерфейса</span>\n        </div>
<p style="margin-top:26px;"><a class="btn hot" href="https://store.steampowered.com/app/4134440/FlashBoss/?utm_source=website-english" target="_blank" rel="noopener">Get FlashBoss on Steam &rarr;</a></p>	<p style="margin-top:26px;"><a class="btn hot" href="packs.html">Посмотреть наборы, которые уже работают по-русски &rarr;</a></p>
<p class="a">Yes — all three. Core, Pareto 1 and Pareto 2 are on the <a href="wordlists.html?lang=English&amp;set=Core">word lists page</a>, free to read before you buy. There is also a playable boss-fight demo in the browser: <a href="https://flashboss-demo.pages.dev/">try the demo</a>.</p>	<p class="a">Да — все три. Core, Pareto 1 и Pareto 2 лежат на <a href="wordlists.html?lang=English&amp;set=Core">странице списков слов</a>: их можно бесплатно прочесть до покупки. А ещё в браузере доступна играбельная демоверсия босс-файта: <a href="https://flashboss-demo.pages.dev/">попробовать демо</a>.</p>
alt="FlashBoss — the school under an English flag, where the English program is taught"	alt="FlashBoss — школа под английским флагом, где преподаётся английская программа"
