# packs.html — en<TAB>ru. Drafted by deepseek-v4-flash, checked by qwen3-max, cross-refuted, Claude-adjudicated.
<span class="brand"><a class="logo" href="index.html">FLASHBOSS</a><span class="pipe">|</span><a href="home.html">home</a><span class="sep"> · </span><span class="here">packs</span></span>	<span class="brand"><a class="logo" href="index.html">FLASHBOSS</a><span class="pipe">|</span><a href="home.html">главная</a><span class="sep"> · </span><span class="here">наборы</span></span>
<div class="name">English<span class="native">as a foreign language</span><span class="dlc-inline">DLC</span></div>	<div class="name">Английский<span class="native">как иностранный язык</span><span class="dlc-inline">DLC</span></div>
<p>The first 3,000 words of English in three packs — Core out now — every card translated and annotated in German, Spanish, Japanese, or Simplified Chinese. Not for native speakers.</p>	<p>Первые 3000 слов английского в трёх наборах — Core уже вышел — каждая карточка с переводом и пояснениями на немецком, испанском, японском или упрощённом китайском. <b>Русского интерфейса пока нет.</b> Не для носителей языка.</p>
<div class="acts">\n        <a class="act primary" href="english.html">Learn more &rarr;</a>\n        <span class="chip-div"></span>\n        <a class="act secondary" href="https://store.steampowered.com/app/4134440/FlashBoss/?utm_source=website-packs">View on Steam &rarr;</a>\n      </div>	<div class="acts">\n        <a class="act primary" href="english.html">Подробнее &rarr;</a>\n      </div>
<div class="subhead">The Roots Series — where English came from</div>	<div class="subhead">Серия Roots — откуда произошёл английский</div>
<p>The Germanic backbone of everyday English — the words you already half-know.</p>	<p>Германская основа повседневного английского — слова, которые вы уже наполовину знаете.</p>
<div class="acts">\n        <a class="act primary" href="german-roots.html">Learn more &rarr;</a>\n        <span class="chip-div"></span>\n        <a class="mini" href="wordlists.html?lang=English&amp;set=German%20Roots">Word Lists</a>\n        <a class="mini" href="lessons.html?lang=English&amp;set=German%20Roots">Lessons</a>\n      </div>	<div class="acts">\n        <a class="act primary" href="german-roots.html">Узнать больше &rarr;</a>\n        <span class="chip-div"></span>\n        <a class="mini" href="wordlists.html?lang=English&amp;set=German%20Roots">Списки слов</a>\n        <a class="mini" href="lessons.html?lang=English&amp;set=German%20Roots">Уроки</a>\n      </div>
<p>The second English — 1066 and the French that came with it.</p>	<p>Второй английский — 1066 год и французский, пришедший с ним.</p>
<div class="acts">\n        <a class="act primary" href="norman-roots.html">Learn more &rarr;</a>\n        <span class="chip-div"></span>\n        <a class="mini" href="wordlists.html?lang=English&amp;set=Norman%20Roots">Word Lists</a>\n        <a class="mini" href="lessons.html?lang=English&amp;set=Norman%20Roots">Lessons</a>\n      </div>	<div class="acts">\n        <a class="act primary" href="norman-roots.html">Узнать больше &rarr;</a>\n        <span class="chip-div"></span>\n        <a class="mini" href="wordlists.html?lang=English&amp;set=Norman%20Roots">Списки слов</a>\n        <a class="mini" href="lessons.html?lang=English&amp;set=Norman%20Roots">Уроки</a>\n      </div>
<p>English built from its parts — the classical and scientific layer, assembled rather than memorised.</p>	<p>Английский, построенный из своих составных частей — классический и научный слой, собранный, а не заученный.</p>
<div class="acts">\n        <a class="act primary" href="latin-roots.html">Learn more &rarr;</a>\n        <span class="chip-div"></span>\n        <a class="mini" href="wordlists.html?lang=English&amp;set=Latin%20Roots">Word Lists</a>\n        <a class="mini" href="lessons.html?lang=English&amp;set=Latin%20Roots">Lessons</a>\n      </div>	<div class="acts">\n        <a class="act primary" href="latin-roots.html">Узнать больше &rarr;</a>\n        <span class="chip-div"></span>\n        <a class="mini" href="wordlists.html?lang=English&amp;set=Latin%20Roots">Списки слов</a>\n        <a class="mini" href="lessons.html?lang=English&amp;set=Latin%20Roots">Уроки</a>\n      </div>
<p>The vocabulary of science, medicine, and abstraction — the layer above Latin.</p>	<p>Лексика науки, медицины и абстракции — слой над латынью.</p>
<div class="acts">\n        <a class="act primary" href="greek-roots.html">Learn more &rarr;</a>\n        <span class="chip-div"></span>\n        <a class="mini" href="wordlists.html?lang=English&amp;set=Greek%20Roots">Word Lists</a>\n        <a class="mini" href="lessons.html?lang=English&amp;set=Greek%20Roots">Lessons</a>\n      </div>	<div class="acts">\n        <a class="act primary" href="greek-roots.html">Узнать больше &rarr;</a>\n        <span class="chip-div"></span>\n        <a class="mini" href="wordlists.html?lang=English&amp;set=Greek%20Roots">Списки слов</a>\n        <a class="mini" href="lessons.html?lang=English&amp;set=Greek%20Roots">Уроки</a>\n      </div>
<h2>Foreign Languages</h2>	<h2>Иностранные языки</h2>
<div class="subhead">The newest course</div>	<div class="subhead">Новейший курс</div>
<div class="name">French<span class="native">Français</span><span class="dlc-inline">DLC</span></div>	<div class="name">Французский<span class="native">Français</span><span class="dlc-inline">DLC</span></div>
<p>From your first <i>bonjour</i> to the evening news — 3,000 words of Metropolitan French across Core, Pareto 1 and Pareto 2, all out now. Cards and lessons in English, German, Spanish, Japanese, or Simplified Chinese.</p>	<p>От вашего первого <i>bonjour</i> до вечерних новостей — 3000 слов французского языка Франции в наборах Core, Pareto 1 и Pareto 2, все уже вышли. Карточки и уроки на английском, немецком, испанском, японском или упрощённом китайском.</p>
<div class="acts">\n        <a class="act primary" href="french.html">Learn more &rarr;</a>\n        <span class="chip-div"></span>\n        <a class="mini" href="wordlists.html?lang=French">Word Lists</a>\n        <a class="mini" href="lessons.html?lang=French">Lessons</a>\n      </div>	<div class="acts">\n        <a class="act primary" href="french.html">Узнать больше &rarr;</a>\n        <span class="chip-div"></span>\n        <a class="mini" href="wordlists.html?lang=French">Списки слов</a>\n        <a class="mini" href="lessons.html?lang=French">Уроки</a>\n      </div>
<div class="subhead">Full 3000 word courses</div>	<div class="subhead">Полные курсы из 3000 слов</div>
<div class="name">German<span class="native">Deutsch</span><span class="free-inline">Core free</span></div>	<div class="name">Немецкий<span class="native">Deutsch</span><span class="free-inline">Core бесплатно</span></div>
<p>From <i>Ich bin Student</i> to the letter from the Finanzamt — arrival to belonging, in three packs.</p>	<p>От <i>Ich bin Student</i> до письма из Finanzamt — от прибытия до укоренения, в трёх наборах.</p>
<div class="acts">\n        <a class="act primary" href="german.html">Learn more &rarr;</a>\n        <span class="chip-div"></span>\n        <a class="mini" href="wordlists.html?lang=German">Word Lists</a>\n        <a class="mini" href="lessons.html?lang=German">Lessons</a>\n      </div>	<div class="acts">\n        <a class="act primary" href="german.html">Узнать больше &rarr;</a>\n        <span class="chip-div"></span>\n        <a class="mini" href="wordlists.html?lang=German">Списки слов</a>\n        <a class="mini" href="lessons.html?lang=German">Уроки</a>\n      </div>
<div class="name">Italian<span class="native">Italiano</span></div>	<div class="name">Итальянский<span class="native">Italiano</span></div>
<p>From a first hello to the train to your <i>nonna</i>'s — guest to family, the language of coming home.</p>	<p>От первого приветствия до поезда к вашей <i>nonna</i> — от гостя к семье, язык возвращения домой.</p>
<div class="acts">\n        <a class="act primary" href="italian.html">Learn more &rarr;</a>\n        <span class="chip-div"></span>\n        <a class="mini" href="wordlists.html?lang=Italian">Word Lists</a>\n        <a class="mini" href="lessons.html?lang=Italian">Lessons</a>\n      </div>	<div class="acts">\n        <a class="act primary" href="italian.html">Узнать больше &rarr;</a>\n        <span class="chip-div"></span>\n        <a class="mini" href="wordlists.html?lang=Italian">Списки слов</a>\n        <a class="mini" href="lessons.html?lang=Italian">Уроки</a>\n      </div>
<div class="name">Spanish<span class="native">Español</span></div>	<div class="name">Испанский<span class="native">Español</span></div>
<p>The Latin American Spanish you actually hear — drawn from film and television. Immersion without barriers.</p>	<p>Латиноамериканский испанский, который вы слышите на самом деле — взятый из кино и телевидения. Погружение без барьеров.</p>
<div class="acts">\n        <a class="act primary" href="spanish.html">Learn more &rarr;</a>\n        <span class="chip-div"></span>\n        <a class="mini" href="wordlists.html?lang=Spanish">Word Lists</a>\n        <a class="mini" href="lessons.html?lang=Spanish">Lessons</a>\n      </div>	<div class="acts">\n        <a class="act primary" href="spanish.html">Узнать больше &rarr;</a>\n        <span class="chip-div"></span>\n        <a class="mini" href="wordlists.html?lang=Spanish">Списки слов</a>\n        <a class="mini" href="lessons.html?lang=Spanish">Уроки</a>\n      </div>
<div class="name">Esperanto<span class="native">Esperanto</span><span class="free-inline">Core free</span></div>	<div class="name">Эсперанто<span class="native">Esperanto</span><span class="free-inline">Core бесплатно</span></div>
<p>The language built to be learned, and the borderless community you join. Perfectly regular.</p>	<p>Язык, созданный для изучения, и сообщество без границ, к которому вы присоединяетесь. Идеально регулярный.</p>
<div class="acts">\n        <a class="act primary" href="esperanto.html">Learn more &rarr;</a>\n        <span class="chip-div"></span>\n        <a class="mini" href="wordlists.html?lang=Esperanto">Word Lists</a>\n        <a class="mini" href="lessons.html?lang=Esperanto">Lessons</a>\n      </div>	<div class="acts">\n        <a class="act primary" href="esperanto.html">Узнать больше &rarr;</a>\n        <span class="chip-div"></span>\n        <a class="mini" href="wordlists.html?lang=Esperanto">Списки слов</a>\n        <a class="mini" href="lessons.html?lang=Esperanto">Уроки</a>\n      </div>
<div class="subhead">A complete language</div>	<div class="subhead">Полноценный язык</div>
<div class="name">Toki Pona<span class="native">toki pona</span><span class="free-inline">Free</span></div>	<div class="name">Toki Pona<span class="native">toki pona</span><span class="free-inline">Бесплатно</span></div>
<p>Around 140 words and you have the whole language — 500 cards, 13 lessons, free inside the base game.</p>	<p>Около 140 слов — и вы владеете всем языком: 500 карточек, 13 уроков, бесплатно в базовой игре.</p>
<div class="acts">\n        <a class="act primary" href="toki-pona.html">Learn more &rarr;</a>\n        <span class="chip-div"></span>\n        <a class="mini" href="wordlists.html?lang=Toki%20Pona">Word Lists</a>\n        <a class="mini" href="lessons.html?lang=Toki%20Pona">Lessons</a>\n      </div>	<div class="acts">\n        <a class="act primary" href="toki-pona.html">Узнать больше &rarr;</a>\n        <span class="chip-div"></span>\n        <a class="mini" href="wordlists.html?lang=Toki%20Pona">Списки слов</a>\n        <a class="mini" href="lessons.html?lang=Toki%20Pona">Уроки</a>\n      </div>
<span class="footer-links">\n    <a href="home.html">home</a><span class="div">·</span>\n    <a href="voices.html">voices</a><span class="div">·</span>\n    <a href="resources.html">resources</a><span class="div">·</span>\n    <a href="manual/">walkthrough (beta)</a><span class="div">·</span>\n    <a href="https://store.steampowered.com/app/4134440/FlashBoss/?utm_source=website-packs">steam</a>\n  </span>	<span class="footer-links">\n    <a href="home.html">главная</a><span class="div">·</span>\n    <a href="voices.html">голоса</a><span class="div">·</span>\n    <a href="resources.html">материалы</a><span class="div">·</span>\n    <a href="manual/">руководство (бета)</a><span class="div">·</span>\n    <a href="https://store.steampowered.com/app/4134440/FlashBoss/?utm_source=website-packs">steam</a>\n  </span>
<title>Packs — Language Courses &amp; English Vocabulary | FlashBoss</title>	<title>Наборы — Языковые курсы и словарный запас английского | FlashBoss</title>
content="The full FlashBoss catalogue. English packs that sharpen the language you already speak — English Advance, English Adept, and the Roots Series (German, Norman, Latin, Greek) — plus language courses in German, Italian, Spanish, Esperanto, and French, and Toki Pona free in the base game. Spaced repetition, boss fights, and text-to-speech."	content="Полный каталог FlashBoss. Английские наборы, которые оттачивают язык, которым вы уже владеете — English Advance, English Adept и серия Roots (German, Norman, Latin, Greek) — плюс языковые курсы немецкого, итальянского, испанского, эсперанто и французского, а также Toki Pona бесплатно в базовой игре. Интервальное повторение, босс-файты и текст-в-речь."
