# latin-roots.html — en<TAB>ru. Drafted by deepseek-v4-flash, checked by qwen3-max, cross-refuted, Claude-adjudicated.
<span class="brand"><a class="logo" href="index.html">FLASHBOSS</a><span class="pipe">|</span><a href="home.html">home</a><span class="sep"> · </span><a href="packs.html">packs</a><span class="sep"> · </span><span class="here">Latin Roots</span></span>	<span class="brand"><a class="logo" href="index.html">FLASHBOSS</a><span class="pipe">|</span><a href="home.html">главная</a><span class="sep"> · </span><a href="packs.html">наборы</a><span class="sep"> · </span><span class="here">Latin Roots</span></span>
<p class="body">Learn a single root — <b>par</b>: to make ready, to make equal — and a dozen words open at once. Prepare, repair, separate, compare, parity, peer, disparage, parade — and even emperor and rampart derive from this root. The next <span class="lat">par-</span> word you meet surrenders its meaning without a dictionary.</p>	<p class="body">Выучите один корень — <b>par</b>: готовить, уравнивать — и сразу откроется дюжина слов. Prepare, repair, separate, compare, parity, peer, disparage, parade — и даже emperor и rampart происходят от этого корня. Следующее слово с <span class="lat">par-</span>, которое вы встретите, раскроет своё значение без словаря.</p>
<p class="body">This is the vocabulary of serious English: the language of argument, law, history, and the sciences. The gap between <b>nominal</b> and <b>token</b>, <b>renown</b> and <b>fame</b>, and between <b>thinking</b> and <b>cogitating</b>. Precise words make precise thoughts — and roots are the parts precise words are built from.</p>	<p class="body">Это словарный запас серьёзного английского: язык дискуссий, права, истории и наук. Разница между <b>nominal</b> и <b>token</b>, <b>renown</b> и <b>fame</b>, и между <b>thinking</b> и <b>cogitating</b>. Точные слова порождают точные мысли — и корни — это части, из которых строятся точные слова.</p>
<div class="h">The parts</div>	<div class="h">Части</div>
<p>A few dozen prefixes, roots, and suffixes — the building blocks that attach to almost everything.</p>	<p>Несколько десятков приставок, корней и суффиксов — строительные блоки, которые присоединяются почти ко всему.</p>
<div class="h">The whole</div>	<div class="h">Целое</div>
<p>Read an unfamiliar word apart into its parts, and its meaning is already there waiting for you.</p>	<p>Разберите незнакомое слово на части, и его значение уже будет ждать вас.</p>
<span class="tag">Take it apart</span>	<span class="tag">Разберите</span>
<h2>A word is an assembly</h2>	<h2>Слово — это сборка</h2>
<p class="sub">Every word here is colour-coded by part. Tap one to take it to pieces.</p>	<p class="sub">Каждое слово здесь раскрашено по частям. Нажмите на слово, чтобы разобрать его на части.</p>
<div class="legend">\n        <span><i class="lp"></i> prefix — direction &amp; position</span>\n        <span><i class="lr"></i> root — the carried meaning</span>\n        <span><i class="ls"></i> suffix — part of speech</span>\n      </div>	<div class="legend">\n        <span><i class="lp"></i> приставка — направление &amp; положение</span>\n        <span><i class="lr"></i> корень — основное значение</span>\n        <span><i class="ls"></i> суффикс — часть речи</span>\n      </div>
<div class="gloss-top">to carry from one place to another</div>	<div class="gloss-top">перевозить из одного места в другое</div>
<div class="parts">\n            <span class="m pre">trans<i>across</i></span>\n            <span class="m rt">port<i>carry</i></span>\n          </div>	<div class="parts">\n            <span class="m pre">trans<i>через</i></span>\n            <span class="m rt">port<i>нести</i></span>\n          </div>
<div class="sum">across + carry → to carry across</div>	<div class="sum">через + нести → перенести</div>
<div class="hint">tap to take apart</div>	<div class="hint">нажмите, чтобы разобрать</div>
<div class="gloss-top">to say in advance what will happen</div>	<div class="gloss-top">сказать заранее, что произойдет</div>
<div class="parts">\n            <span class="m pre">pre<i>before</i></span>\n            <span class="m rt">dict<i>say</i></span>\n          </div>	<div class="parts">\n            <span class="m pre">pre<i>перед</i></span>\n            <span class="m rt">dict<i>говорить</i></span>\n          </div>
<div class="sum">before + say → to say beforehand</div>	<div class="sum">перед + говорить → сказать заранее</div>
<div class="gloss-top">to look at something closely</div>	<div class="gloss-top">внимательно рассматривать что-то</div>
<div class="parts">\n            <span class="m pre">in<i>into</i></span>\n            <span class="m rt">spec<i>look</i></span>\n            <span class="m suf">t<i>act of</i></span>\n          </div>	<div class="parts">\n            <span class="m pre">in<i>внутрь</i></span>\n            <span class="m rt">spec<i>смотреть</i></span>\n            <span class="m suf">t<i>действие</i></span>\n          </div>
<div class="sum">into + look → to look into</div>	<div class="sum">внутрь + смотреть → смотреть внутрь</div>
<div class="gloss-top">to break in on something in progress</div>	<div class="gloss-top">прервать что-то, находящееся в процессе</div>
<div class="parts">\n            <span class="m pre">inter<i>between</i></span>\n            <span class="m rt">rupt<i>break</i></span>\n          </div>	<div class="parts">\n            <span class="m pre">inter<i>между</i></span>\n            <span class="m rt">rupt<i>ломать</i></span>\n          </div>
<div class="sum">between + break → to break in between</div>	<div class="sum">между + прерывать → вмешаться, прервав течение</div>
<h2>The toolkit you start with</h2>	<h2>Набор инструментов, с которого вы начинаете</h2>
<p class="sub">The pack opens with the prefixes — the directions and positions that snap onto any root.</p>	<p class="sub">Набор начинается с префиксов — направлений и положений, которые присоединяются к любому корню.</p>
<div class="head"><span>Prefix · Tier 1</span><span>Direction &amp; position</span></div>	<div class="head"><span>Префикс · Уровень 1</span><span>Направление и положение</span></div>
<div class="v"><b>out of, away from</b> — export, extract, eject</div>	<div class="v"><b>из, от</b> — вывозить, извлекать, выбрасывать</div>
<div class="v"><b>into, or not</b> — inspect, induct; invalid, inert</div>	<div class="v"><b>в, или не</b> — осматривать, вводить в должность; недействительный, инертный</div>
<div class="v"><b>with, together</b> — connect, conspire, convene</div>	<div class="v"><b>с, вместе</b> — соединять, сговариваться, собираться</div>
<div class="v"><b>across, beyond</b> — transport, translate, transcend</div>	<div class="v"><b>через, за пределами</b> — transport, translate, transcend</div>
<div class="v"><b>under, below</b> — submit, subvert, subterfuge</div>	<div class="v"><b>под, ниже</b> — submit, subvert, subterfuge</div>
<div class="v"><b>above, beyond</b> — superior, supervise, supersede</div>	<div class="v"><b>над, сверх</b> — superior, supervise, supersede</div>
<div class="v"><b>between, among</b> — intervene, interject, interrupt</div>	<div class="v"><b>между, среди</b> — intervene, interject, interrupt</div>
<div class="v"><b>before</b> — predict, prepare, precede</div>	<div class="v"><b>перед</b> — predict, prepare, precede</div>
<div class="v"><b>after, behind</b> — postpone, postscript, posterity</div>	<div class="v"><b>после, позади</b> — postpone, postscript, posterity</div>
<div class="v"><b>forward, in favour of</b> — promote, propel, proponent</div>	<div class="v"><b>вперёд, в пользу</b> — promote, propel, proponent</div>
<h2>One root, a whole family</h2>	<h2>Один корень, целая семья</h2>
<p class="sub">Each cluster is a single Latin root and the English words descended from it. Learn it once.</p>	<p class="sub">Каждый блок — это один латинский корень и произошедшие от него английские слова. Выучите его один раз.</p>
<div class="stem">\n          <span class="glyph">par</span>\n          <span class="mean">to make ready · to make equal</span>\n          <span class="src">from Latin <i>parāre</i> &amp; <i>pār</i></span>\n        </div>	<div class="stem">\n          <span class="glyph">par</span>\n          <span class="mean">готовить · уравнивать</span>\n          <span class="src">из латыни <i>parāre</i> &amp; <i>pār</i></span>\n        </div>
<p class="note">Thirteen words, one root. Once you can see the <span class="r" style="color:var(--root); font-weight:700;">par</span> in each, you never memorise them separately again — and the next one you meet falls open the same way.</p>	<p class="note">Тринадцать слов, один корень. Как только вы научитесь видеть <span class="r" style="color:var(--root); font-weight:700;">par</span> в каждом, вы больше никогда не будете запоминать их по отдельности — и следующее, которое встретится, раскроется так же.</p>
<span class="tag">Watch the register climb</span>	<span class="tag">Смотрите, как растёт счёт</span>
<h2>From plain to formidable</h2>	<h2>От простого к внушительному</h2>
<p class="sub">The pack runs five tiers, T1 to T5 — and the words grow up as you do.</p>	<p class="sub">Набор включает пять уровней, от T1 до T5 — и слова растут вместе с вами.</p>
<li class="reveal"><span class="wd">transport</span><span class="df">to carry from one place to another</span></li>	<li class="reveal"><span class="wd">transport</span><span class="df">перевозить из одного места в другое</span></li>
<li class="reveal"><span class="wd">conspicuous</span><span class="df">clearly visible; attracting notice, often unwelcomely</span></li>	<li class="reveal"><span class="wd">conspicuous</span><span class="df">ясно видимый; привлекающий внимание, часто нежелательно</span></li>
<li class="reveal"><span class="wd">perfidious</span><span class="df">deliberately deceitful and untrustworthy; treacherous</span></li>	<li class="reveal"><span class="wd">вероломный</span><span class="df">намеренно лживый и ненадёжный; предательский</span></li>
<li class="reveal"><span class="wd">miscreant</span><span class="df">a person whose behaviour is criminal or morally wrong</span></li>	<li class="reveal"><span class="wd">негодяй</span><span class="df">человек, чьё поведение преступно или аморально</span></li>
<li class="reveal"><span class="wd">stringent</span><span class="df">strict, precise, and exacting</span></li>	<li class="reveal"><span class="wd">строгий</span><span class="df">строгий, точный и требовательный</span></li>
<span class="tag">How it sticks</span>	<span class="tag">Как это запоминается</span>
<h2>Flashcards as an integrated system</h2>	<h2>Карточки как интегрированная система</h2>
<dt>Paired cards</dt>	<dt>Парные карточки</dt>
<dd>500 cards, 1,000 words — each card pairs a headword with a relative from the same family, so the word and its kin arrive together.</dd>	<dd>500 карточек, 1000 слов — каждая карточка объединяет заглавное слово с родственным из того же семейства, так что слово и его родня приходят вместе.</dd>
<dt>Fibonacci SRS</dt>	<dt>SRS Фибоначчи</dt>
<dd>Rate each card 0–5. The better you know a word, the longer before it returns — spaced repetition on Fibonacci intervals.</dd>	<dd>Оценивайте каждую карточку от 0 до 5. Чем лучше вы знаете слово, тем дольше оно не вернётся — интервальное повторение по числам Фибоначчи.</dd>
<dt>Boss fights</dt>	<dt>Босс-файты</dt>
<dd>Each root family is gated by a duel you can't win without confronting and overcoming its hardest members.</dd>	<dd>Каждая семья корней закрыта дуэлью, которую невозможно выиграть, не столкнувшись с её самыми сложными членами и не одолев их.</dd>
<dt>Graduation</dt>	<dt>Освоение</dt>
<dd>Beat a family and its cards leave your daily deck for good. The deck gets smaller as you learn.</dd>	<dd>Победите семью — и её карточки навсегда покинут вашу ежедневную колоду. Колода становится меньше по мере обучения.</dd>
<dt>Etymology</dt>	<dt>Этимология</dt>
<dd>Every card shows the root, its Latin source, and exactly how the parts assemble — plus synonyms and antonyms to place each word precisely.</dd>	<dd>Каждая карточка показывает корень, его латинский источник и то, как части соединяются — плюс синонимы и антонимы, чтобы точно определить каждое слово.</dd>
<dt>Audio</dt>	<dt>Аудио</dt>
<dd>Clean Piper text-to-speech on every word and example sentence.</dd>	<dd>Чистое озвучивание Piper на каждом слове и примере предложения.</dd>
<dt>Lessons</dt>	<dt>Уроки</dt>
<dd>Reference lessons fire at the point in the sequence where they unlock what you're about to read.</dd>	<dd>Справочные уроки срабатывают в той точке последовательности, где они открывают то, что вы собираетесь прочитать.</dd>
<h2>Part of the Roots Series</h2>	<h2>Часть серии Roots</h2>
<p class="sub">The shape of English and its neighbours, made visible.</p>	<p class="sub">Форма английского и его соседей, сделанная видимой.</p>
<div class="lvl">1,000 words</div>	<div class="lvl">1000 слов</div>
<p>The Germanic backbone of everyday English — the words you already half-know.</p>	<p>Германский костяк повседневного английского — слова, которые вы уже наполовину знаете.</p>
<p>The second English — 1066 and the French that came with it.</p>	<p>Второй английский — 1066 и французский, который пришёл с ним.</p>
<p>English built from its parts — the classical and scientific layer, assembled.</p>	<p>Английский, построенный из своих частей — классический и научный слой, собранный.</p>
<span class="here">You are here</span>	<span class="here">вы здесь</span>
<p>The vocabulary of science, medicine, and abstraction — the layer above Latin.</p>	<p>Лексика науки, медицины и абстракции — слой над латынью.</p>
<h2>Read the next word apart.</h2>	<h2>Читайте следующее слово отдельно.</h2>
<p>500 cards · 1,000 words · the full prefix &amp; suffix toolkit · etymology on every card. The complete word list, every reference lesson, and a playable boss-fight demo are on the website.</p>	<p>500 карточек · 1000 слов · полный набор приставок &amp; суффиксов · этимология на каждой карточке. Полный список слов, все справочные уроки и играбельная демо-версия босс-файта — на сайте.</p>
<a class="btn warm" href="https://store.steampowered.com/app/4475070/FlashBoss__Latin_Roots/?utm_source=website">Get Latin Roots on Steam &rarr;</a>	<a class="btn warm" href="https://store.steampowered.com/app/4475070/FlashBoss__Latin_Roots/?utm_source=website">Купить Latin Roots в Steam &rarr;</a>
<p class="epi">“Litterarum radices amarae, fructus dulces.”<br>The roots of learning are bitter; the fruit is sweet.<br><span class="epi-cite">— Latin proverb, after Aristotle</span></p>	<p class="epi">“Litterarum radices amarae, fructus dulces.”<br>Корни учения горьки, а плоды сладки.<br><span class="epi-cite">— Латинская пословица, приписываемая Аристотелю</span></p>
<span class="footer-links">\n    <a href="home.html">home</a>\n    <span class="div">·</span>\n    <a href="packs.html">packs</a>\n    <span class="div">·</span>\n    <a href="manual/">walkthrough (beta)</a>\n    <span class="div">·</span>\n    <a href="https://store.steampowered.com/app/4475070/FlashBoss__Latin_Roots/?utm_source=website">steam</a>\n  </span>	<span class="footer-links">\n    <a href="home.html">главная</a>\n    <span class="div">·</span>\n    <a href="packs.html">наборы</a>\n    <span class="div">·</span>\n    <a href="manual/">руководство (бета)</a>\n    <span class="div">·</span>\n    <a href="https://store.steampowered.com/app/4475070/FlashBoss__Latin_Roots/?utm_source=website">Steam</a>\n  </span>
content="FlashBoss Latin Roots: stop learning English one word at a time. The prefixes, suffixes, and roots that build thousands of words — learn the parts, and read an unfamiliar word apart. 1,000 words, 500 cards, spaced repetition, boss fights, and text-to-speech."	content="FlashBoss Latin Roots: перестаньте учить английский по одному слову. Приставки, суффиксы и корни, из которых строятся тысячи слов — выучите части и разбирайте незнакомые слова. 1000 слов, 500 карточек, интервальное повторение, босс-файты и синтез речи."
