# greek-roots.html — en<TAB>ru. Drafted by deepseek-v4-flash, checked by qwen3-max, cross-refuted, Claude-adjudicated.
<span class="brand"><a class="logo" href="index.html">FLASHBOSS</a><span class="pipe">|</span><a href="home.html">home</a><span class="sep"> · </span><a href="packs.html">packs</a><span class="sep"> · </span><span class="here">Greek Roots</span></span>	<span class="brand"><a class="logo" href="index.html">FLASHBOSS</a><span class="pipe">|</span><a href="home.html">главная</a><span class="sep"> · </span><a href="packs.html">наборы</a><span class="sep"> · </span><span class="here">Greek Roots</span></span>
<div class="head"><span>Prefix · Tier 1</span><span>The everyday Greek layer</span></div>	<div class="head"><span>Префикс · Уровень 1</span><span>Повседневный греческий слой</span></div>
<div class="v"><b>far, at a distance</b> — telephone, television, teleport</div>	<div class="v"><b>далеко, на расстоянии</b> — телефон, телевидение, телепорт</div>
<div class="v"><b>self</b> — automatic, autograph, autopilot</div>	<div class="v"><b>сам</b> — автоматический, автограф, автопилот</div>
<div class="v"><b>small</b> — microphone, microscope, microchip</div>	<div class="v"><b>маленький</b> — микрофон, микроскоп, микрочип</div>
<div class="v"><b>great, million</b> — megaphone, megabyte, megalomania</div>	<div class="v"><b>великий, миллион</b> — megaphone, megabyte, megalomania</div>
<div class="v"><b>one, single</b> — monopoly, monologue, monorail</div>	<div class="v"><b>один, единственный</b> — monopoly, monologue, monorail</div>
<div class="v"><b>two, twice</b> — dioxide, dilemma, diphthong</div>	<div class="v"><b>два, дважды</b> — dioxide, dilemma, diphthong</div>
<div class="v"><b>five</b> — pentagon, pentathlon, pentagram</div>	<div class="v"><b>пять</b> — pentagon, pentathlon, pentagram</div>
<div class="v"><b>a thousand</b> — kilometer, kilogram, kilowatt</div>	<div class="v"><b>тысяча</b> — kilometer, kilogram, kilowatt</div>
<div class="v"><b>against</b> — antibiotic, antidote, antibody</div>	<div class="v"><b>против</b> — antibiotic, antidote, antibody</div>
<div class="v"><b>over, excessive</b> — hyperactive, hyperlink, hyperventilate</div>	<div class="v"><b>сверх, чрезмерный</b> — hyperactive, hyperlink, hyperventilate</div>
<div class="v"><b>false</b> — pseudonym, pseudoscience, pseudopod</div>	<div class="v"><b>ложный</b> — pseudonym, pseudoscience, pseudopod</div>
<h2>One root, a whole family</h2>	<h2>Один корень, целая семья</h2>
<p class="sub">Each cluster is a family of Greek parts and the English words built from them. Learn it once.</p>	<p class="sub">Каждый блок — это семейство греческих частей и английских слов, построенных из них. Выучите это один раз.</p>
<div class="stem">\n          <span class="glyph">path</span>\n          <span class="mean">feeling · suffering</span>\n          <span class="src">from Greek <i>πάθος</i> (páthos)</span>\n        </div>	<div class="stem">\n          <span class="glyph">path</span>\n          <span class="mean">чувство · страдание</span>\n          <span class="src">из греческого <i>πάθος</i> (páthos)</span>\n        </div>
<p class="note">Thirteen words, one root — running from the sofa to the clinic. The <span class="r" style="color:var(--root); font-weight:700;">path</span> that feels-with in sympathy is the same one that suffers in neuropathy. See it once, and both ends of the register belong to you.</p>	<p class="note">Тринадцать слов, один корень — от дивана до клиники. Тот <span class="r" style="color:var(--root); font-weight:700;">path</span>, который сочувствует в sympathy, — тот же, что страдает в neuropathy. Увидите его один раз — и оба полюса регистра станут вашими.</p>
<span class="tag">Watch the register climb</span>	<span class="tag">Наблюдайте, как растёт регистр</span>
<h2>From gadget to diagnosis</h2>	<h2>От гаджета до диагноза</h2>
<p class="sub">The pack runs five tiers, T1 to T5 — from the technology in your pocket to the chart at the foot of the hospital bed.</p>	<p class="sub">Набор состоит из пяти уровней, от T1 до T5 — от технологии в вашем кармане до карты в ногах больничной койки.</p>
<li class="reveal"><span class="wd">microscopic</span><span class="df">too small to be seen without the aid of a microscope</span></li>	<li class="reveal"><span class="wd">микроскопический</span><span class="df">слишком маленький, чтобы его можно было увидеть без микроскопа</span></li>
<li class="reveal"><span class="wd">syndrome</span><span class="df">a group of symptoms that consistently occur together, characterizing a particular condition</span></li>	<li class="reveal"><span class="wd">синдром</span><span class="df">группа симптомов, которые постоянно встречаются вместе, характеризующая определённое состояние</span></li>
<li class="reveal"><span class="wd">cryptic</span><span class="df">having a meaning that is mysterious or difficult to interpret</span></li>	<li class="reveal"><span class="wd">загадочный</span><span class="df">имеющий значение, которое является таинственным или трудным для интерпретации</span></li>
<li class="reveal"><span class="wd">polymath</span><span class="df">a person of exceptionally wide-ranging knowledge across many different fields</span></li>	<li class="reveal"><span class="wd">эрудит</span><span class="df">человек с исключительно широкими знаниями в самых разных областях</span></li>
<li class="reveal"><span class="wd">bradycardia</span><span class="df">an abnormally slow heart rate</span></li>	<li class="reveal"><span class="wd">брадикардия</span><span class="df">аномально медленный сердечный ритм</span></li>
<span class="tag">How it sticks</span>	<span class="tag">Как это запоминается</span>
<h2>Flashcards as an integrated system</h2>	<h2>Карточки как интегрированная система</h2>
<dt>Root clusters</dt>	<dt>Блоки корней</dt>
<dd>1,000 cards, 1,000 words, in 55 root clusters across five tiers — each cluster one family of Greek parts, learned side by side.</dd>	<dd>1000 карточек, 1000 слов, в 55 блоках корней на пяти уровнях — каждый блок содержит одну семью греческих частей, которые изучаются рядом.</dd>
<dt>Fibonacci SRS</dt>	<dt>Фибоначчи SRS</dt>
<dd>Rate each card 0–5. The better you know a word, the longer before it returns — spaced repetition on Fibonacci intervals.</dd>	<dd>Оценивайте каждую карточку от 0 до 5. Чем лучше вы знаете слово, тем дольше оно не появляется снова — интервальное повторение с интервалами по Фибоначчи.</dd>
<dt>Boss fights</dt>	<dt>Босс-файты</dt>
<dd>Each root cluster is gated by a duel you can't win without confronting and overcoming its hardest members.</dd>	<dd>Каждый блок корней защищён дуэлью, которую вы не сможете выиграть, не встретив и не преодолев его самых сложных членов.</dd>
<dt>Graduation</dt>	<dt>Освоение</dt>
<dd>Beat a cluster and its cards leave your daily deck for good. The deck gets smaller as you learn.</dd>	<dd>Победите блок, и его карточки навсегда покидают вашу ежедневную колоду. Колода становится меньше по мере обучения.</dd>
<dt>Etymology</dt>	<dt>Этимология</dt>
<dd>Every card names the root, shows the real Greek word in its own script — τῆλε, λόγος — and spells out exactly how the parts assemble. You don't need to read Greek; you learn to recognise it.</dd>	<dd>Каждая карточка называет корень, показывает настоящее греческое слово в его собственном письме — τῆλε, λόγος — и точно объясняет, как собираются части. Вам не нужно читать по-гречески; вы учитесь распознавать его.</dd>
<dt>Audio</dt>	<dt>Аудио</dt>
<dd>Clean Piper text-to-speech on every word and example sentence.</dd>	<dd>Чистый синтез речи Piper на каждом слове и примере предложения.</dd>
<dt>Lessons</dt>	<dt>Уроки</dt>
<dd>Reference lessons fire at the point in the sequence where they unlock what you're about to read.</dd>	<dd>Справочные уроки срабатывают в тот момент последовательности, когда они открывают то, что вы собираетесь прочитать.</dd>
<h2>Part of the Roots Series</h2>	<h2>Часть серии Roots</h2>
<p class="sub">The shape of English and its neighbours, made visible.</p>	<p class="sub">Форма английского языка и его соседей, ставшая видимой.</p>
<div class="lvl">1,000 words</div>	<div class="lvl">1000 слов</div>
<p>The Germanic backbone of everyday English — the words you already half-know.</p>	<p>Германская основа повседневного английского — слова, которые вы уже наполовину знаете.</p>
<p>The second English — 1066 and the French that came with it.</p>	<p>Второй английский — 1066 год и французский, который пришёл с ним.</p>
<p>English built from its parts — the classical and scientific layer, assembled.</p>	<p>Английский, собранный из своих частей — классический и научный слой, собранный воедино.</p>
<p>The vocabulary of science, medicine, and abstraction — the layer above Latin.</p>	<p>Лексика науки, медицины и абстракции — слой над латынью.</p>
<span class="here">You are here</span>	<span class="here">Вы здесь</span>
<h2>Read the biggest words first.</h2>	<h2>Сначала читайте самые большие слова.</h2>
<p>1,000 cards · 1,000 words · 55 root clusters · the real Greek, in Greek script, on every card. The complete word list, every reference lesson, and a playable boss-fight demo are on the website.</p>	<p>1000 карточек · 1000 слов · 55 блоков корней · настоящий греческий, греческим письмом, на каждой карточке. Полный список слов, все справочные уроки и играбельное демо босс-файта — на сайте.</p>
<a class="btn warm" href="https://store.steampowered.com/app/4992480?utm_source=website">Get Greek Roots on Steam &rarr;</a>	<a class="btn warm" href="https://store.steampowered.com/app/4992480?utm_source=website">Купить Greek Roots в Steam &rarr;</a>
<p class="epi">“Τῆς παιδείας αἱ μὲν ῥίζαι πικραί, ὁ δὲ καρπὸς γλυκύς.”<br>The roots of education are bitter; the fruit is sweet.<br><span class="epi-cite">— Greek proverb, after Aristotle</span></p>	<p class="epi">“Τῆς παιδείας αἱ μὲν ῥίζαι πικραί, ὁ δὲ καρπὸς γλυκύς.”<br>Корни образования горьки, но плоды сладки.<br><span class="epi-cite">— Греческая пословица, по Аристотелю</span></p>
<span class="footer-links">\n    <a href="home.html">home</a>\n    <span class="div">·</span>\n    <a href="packs.html">packs</a>\n    <span class="div">·</span>\n    <a href="manual/">walkthrough (beta)</a>\n    <span class="div">·</span>\n    <a href="https://store.steampowered.com/app/4992480?utm_source=website">steam</a>\n  </span>	<span class="footer-links">\n    <a href="home.html">главная</a>\n    <span class="div">·</span>\n    <a href="packs.html">наборы</a>\n    <span class="div">·</span>\n    <a href="manual/">руководство (бета)</a>\n    <span class="div">·</span>\n    <a href="https://store.steampowered.com/app/4992480?utm_source=website">Steam</a>\n  </span>
content="FlashBoss Greek Roots: the hardest words in English are the easiest to read. The Greek prefixes, roots, and suffixes behind science, medicine, and abstraction — 1,000 words, 1,000 cards, 55 root clusters, spaced repetition, boss fights, and text-to-speech."	content="FlashBoss Greek Roots: самые сложные слова английского языка — самые лёгкие для чтения. Греческие префиксы, корни и суффиксы, стоящие за наукой, медициной и абстракцией — 1000 слов, 1000 карточек, 55 блоков корней, интервальное повторение, босс-файты и синтез речи."
