# german.html — en<TAB>ru. Drafted by deepseek-v4-flash, checked by qwen3-max, cross-refuted, Claude-adjudicated.
<span class="brand"><a class="logo" href="index.html">FLASHBOSS</a><span class="pipe">|</span><a href="home.html">home</a><span class="sep"> · </span><a href="packs.html">packs</a><span class="sep"> · </span><span class="here">German</span></span>	<span class="brand"><a class="logo" href="index.html">FLASHBOSS</a><span class="pipe">|</span><a href="home.html">главная</a><span class="sep"> · </span><a href="packs.html">наборы</a><span class="sep"> · </span><span class="here">Немецкий</span></span>
<p class="body">Tiers four and five take a short detour into life in Germany — the language for its formidable bureaucracy, and for anyone aspiring to work or study in Germany or nearby. The Pareto packs continue on from where German Core leaves off. The grammar and vocabulary ramp continually, all the way to full C1 complexity.</p>	<p class="body">Уровни четыре и пять совершают короткое отклонение в жизнь в Германии — язык для её грозной бюрократии и для всех, кто стремится работать или учиться в Германии или поблизости. Наборы Pareto продолжаются с того места, где остановился German Core. Грамматика и словарный запас постоянно нарастают, вплоть до полной сложности C1.</p>
<div class="h">Tiers 1–3 · Foundations</div>	<div class="h">Уровни 1–3 · Основы</div>
<p>Greetings, daily life, getting around, your first conversations. Standard beginner ground.</p>	<p>Приветствия, повседневная жизнь, передвижение, ваши первые разговоры. Стандартная база для начинающих.</p>
<div class="h">Tiers 4–5 · Integration</div>	<div class="h">Уровни 4–5 · Интеграция</div>
<p>German bureaucracy, work, and study: the practical language for life in Germany.</p>	<p>Немецкая бюрократия, работа и учёба: практический язык для жизни в Германии.</p>
<span class="tag">Watch it grow up</span>	<span class="tag">Смотрите, как он растёт</span>
<h2>Progressively more challenging</h2>	<h2>Постепенно усложняется</h2>
<p class="sub">The example sentences increase in complexity tier by tier.</p>	<p class="sub">Примеры предложений усложняются от уровня к уровню.</p>
<li class="reveal"><span class="ger de">Ich bin Student.</span><span class="en">I am a student.</span></li>	<li class="reveal"><span class="ger de">Ich bin Student.</span><span class="en">Я студент.</span></li>
<li class="reveal"><span class="ger de">Ich kaufe frisches Obst auf dem Markt.</span><span class="en">I buy fresh fruit at the market.</span></li>	<li class="reveal"><span class="ger de">Ich kaufe frisches Obst auf dem Markt.</span><span class="en">Я покупаю свежие фрукты на рынке.</span></li>
<li class="reveal"><span class="ger de">Könnten Sie mir bitte erklären, wo ich einen Fahrschein lösen kann?</span><span class="en">Could you please explain to me where I can buy a ticket?</span></li>	<li class="reveal"><span class="ger de">Könnten Sie mir bitte erklären, wo ich einen Fahrschein lösen kann?</span><span class="en">Не могли бы вы, пожалуйста, объяснить мне, где я могу купить билет?</span></li>
<li class="reveal"><span class="ger de">Mir liegt es am Herzen, dass wir diese Angelegenheit vertraulich behandeln.</span><span class="en">It matters deeply to me that we handle this matter confidentially.</span></li>	<li class="reveal"><span class="ger de">Mir liegt es am Herzen, dass wir diese Angelegenheit vertraulich behandeln.</span><span class="en">Мне очень важно, чтобы мы обрабатывали это дело конфиденциально.</span></li>
<li class="reveal"><span class="ger de">Die Implikationen dieser Entscheidung übersteigen bei Weitem unsere ursprünglichen Erwartungen.</span><span class="en">The implications of this decision far exceed our original expectations.</span></li>	<li class="reveal"><span class="ger de">Die Implikationen dieser Entscheidung übersteigen bei Weitem unsere ursprünglichen Erwartungen.</span><span class="en">Последствия этого решения намного превосходят наши первоначальные ожидания.</span></li>
<span class="tag">Read it by sight</span>	<span class="tag">Читай на глаз</span>
<h2>der · die · das, in colour</h2>	<h2>der · die · das, в цвете</h2>
<p class="sub">Every noun carries its article colour-coded to gender. You remember it by sight, not by drill. Tap a card to flip it.</p>	<p class="sub">Каждое существительное имеет артикль, цвет которого указывает на род. Вы запоминаете его на глаз, а не заучиванием. Нажмите на карточку, чтобы перевернуть её.</p>
<div class="legend">\n        <span><i class="lm"></i> der — masculine</span>\n        <span><i class="lf"></i> die — feminine</span>\n        <span><i class="ln"></i> das — neuter</span>\n      </div>	<div class="legend">\n        <span><i class="lm"></i> der — мужской</span>\n        <span><i class="lf"></i> die — женский</span>\n        <span><i class="ln"></i> das — средний</span>\n      </div>
<div class="trans">identity card — “I need my valid identity card for the registration.” Casual: <i>Perso</i>.</div>	<div class="trans">удостоверение личности — «Мне нужно действующее удостоверение личности для регистрации.» Разговорное: <i>Perso</i>.</div>
<div class="hint">tap to flip</div>	<div class="hint">нажмите, чтобы перевернуть</div>
<div class="trans">registration — “Do the registration at the office within two weeks.” Required within two weeks of moving.</div>	<div class="trans">регистрация — «Зарегистрируйтесь в учреждении в течение двух недель.» Требуется в течение двух недель после переезда.</div>
<div class="trans">civic office — “I have an appointment at the civic office for the registration.” Also: <i>Bürgerbüro</i>.</div>	<div class="trans">гражданское бюро — «У меня назначена встреча в гражданском бюро для регистрации.» Также: <i>Bürgerbüro</i>.</div>
<h2>Germany as your home</h2>	<h2>Германия как ваш дом</h2>
<p class="sub">The language of bureaucracy is a common part of German life. Hover any line for the English.</p>	<p class="sub">Язык бюрократии — обычная часть немецкой жизни. Наведите курсор на любую строку, чтобы увидеть английский перевод.</p>
<div class="head"><span>Wortschatz · Tier 4–5</span><span>Behördendeutsch</span></div>	<div class="head"><span>Wortschatz · уровень 4–5</span><span>Behördendeutsch</span></div>
<div class="v">Nach dem Umzug muss ich die Anmeldung beim Amt machen. <span class="stamp">⟶ Frist: 2 Wochen</span><span class="en">After moving, I have to register at the office — required within two weeks.</span></div>	<div class="v">Nach dem Umzug muss ich die Anmeldung beim Amt machen. <span class="stamp">⟶ Frist: 2 Wochen</span><span class="en">После переезда я должен зарегистрироваться в бюро — требуется в течение двух недель.</span></div>
<div class="v">Lehnt die Behörde Ihren Antrag ab, können Sie Widerspruch einlegen. <span class="stamp">⟶ Frist: 4 Wochen</span><span class="en">If the authority rejects your application, you can file an objection — within four weeks.</span></div>	<div class="v">Lehnt die Behörde Ihren Antrag ab, können Sie Widerspruch einlegen. <span class="stamp">⟶ Срок: 4 недели</span><span class="en">Если орган отклонит ваше заявление, вы можете подать возражение — в течение четырех недель.</span></div>
<div class="v">Ich mache meine Steuererklärung online über das ELSTER-Portal.<span class="en">I do my tax return online through the ELSTER portal.</span></div>	<div class="v">Ich mache meine Steuererklärung online über das ELSTER-Portal.<span class="en">Я подаю налоговую декларацию онлайн через портал ELSTER.</span></div>
<div class="v">In Deutschland braucht jeder eine Krankenversicherung — <span class="stamp">obligatorisch.</span><span class="en">In Germany, everyone needs health insurance — it's mandatory.</span></div>	<div class="v">In Deutschland braucht jeder eine Krankenversicherung — <span class="stamp">obligatorisch.</span><span class="en">В Германии каждому нужна медицинская страховка — это обязательно.</span></div>
<h2>The Pareto Principle</h2>	<h2>Принцип Парето</h2>
<p class="sub">3 packs. 10% of the German vocabulary for 90% of German use cases.</p>	<p class="sub">3 набора. 10% немецкой лексики для 90% случаев использования немецкого.</p>
<div class="lvl">A1–A2 · 1,000 words</div>	<div class="lvl">A1–A2 · 1000 слов</div>
<p>Arrival to belonging, in five tiers. Thorsten text-to-speech.</p>	<p>От прибытия к принадлежности, пять уровней. Голос Торстен (текст в речь).</p>
<span class="free">Included free</span>	<span class="free">Включено бесплатно</span>
<div class="lvl">B1–B2 · 1,000 words</div>	<div class="lvl">B1–B2 · 1000 слов</div>
<p>The next thousand, deepening work, services, and social life.</p>	<p>Следующая тысяча, углубление работы, услуг и социальной жизни.</p>
<div class="lvl">B2–C1 · 1,000 words</div>	<div class="lvl">B2–C1 · 1000 слов</div>
<p>Abstract, professional, and native-like range.</p>	<p>Абстрактный, профессиональный и близкий к носителю диапазон.</p>
<span class="tag">How it sticks</span>	<span class="tag">Как это запоминается</span>
<h2>Flashcards as an integrated system</h2>	<h2>Карточки как интегрированная система</h2>
<dt>Fibonacci SRS</dt>	<dt>СИП по Фибоначчи</dt>
<dd>Rate each card 0–5. The better you know a word, the longer before it returns — spaced repetition on Fibonacci intervals.</dd>	<dd>Оценивайте каждую карточку от 0 до 5. Чем лучше вы знаете слово, тем дольше оно не возвращается — интервальное повторение по интервалам Фибоначчи.</dd>
<dt>Boss fights</dt>	<dt>Босс-файты</dt>
<dd>Each cluster is gated by a duel you can't win without confronting and overcoming your most difficult words.</dd>	<dd>Каждый блок закрыт дуэлью, которую вы не сможете выиграть, не столкнувшись и не преодолев свои самые сложные слова.</dd>
<dt>Graduation</dt>	<dt>Освоение</dt>
<dd>Beat a cluster and its cards leave your daily deck for good. The deck gets smaller as you learn.</dd>	<dd>Победите блок — и его карточки навсегда покидают вашу ежедневную колоду. Колода становится меньше по мере обучения.</dd>
<dt>Audio</dt>	<dt>Аудио</dt>
<dd>Clean Thorsten Piper text-to-speech on every word and every sentence.</dd>	<dd>Чистый синтез речи Thorsten Piper на каждом слове и каждом предложении.</dd>
<dt>Lessons</dt>	<dt>Уроки</dt>
<dd>Reference lessons fire at the point in the sequence where they unlock what you're about to read.</dd>	<dd>Справочные уроки появляются в той точке последовательности, где они открывают то, что вы собираетесь прочитать.</dd>
<a class="btn cold" href="https://store.steampowered.com/app/4134440/FlashBoss/?utm_source=website" target="_blank" rel="noopener">Get FlashBoss on Steam &rarr;</a>	<a class="btn cold" href="https://store.steampowered.com/app/4134440/FlashBoss/?utm_source=website" target="_blank" rel="noopener">Купить FlashBoss в Steam &rarr;</a>
<span class="footer-links">\n    <a href="home.html">home</a>\n    <span class="div">·</span>\n    <a href="manual/">walkthrough (beta)</a>\n    <span class="div">·</span>\n    <a href="https://store.steampowered.com/app/4134440/FlashBoss/?utm_source=website" target="_blank" rel="noopener">steam</a>\n  </span>	<span class="footer-links">\n    <a href="home.html">главная</a>\n    <span class="div">·</span>\n    <a href="manual/">руководство (бета)</a>\n    <span class="div">·</span>\n    <a href="https://store.steampowered.com/app/4134440/FlashBoss/?utm_source=website" target="_blank" rel="noopener">steam</a>\n  </span>
<title>German — FlashBoss</title>	<title>Немецкий — FlashBoss</title>
content="FlashBoss German: a thousand words that grow up as you do. From 'Ich bin Student' to the letter from the Finanzamt. Spaced repetition, boss fights, gender colour-coding, and text-to-speech."	content="FlashBoss Немецкий: тысяча слов, которые растут вместе с вами. От «Ich bin Student» до письма из Finanzamt. Интервальное повторение, босс-файты, цветовая маркировка рода и синтез речи."
